Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,4.350000,4.400000,4.320000,4.340000,3.554644,14764000
2019-04-02,4.390000,4.430000,4.320000,4.350000,3.562834,26246200
2019-04-03,4.390000,4.460000,4.340000,4.360000,3.571025,20970100
2019-04-04,4.360000,4.510000,4.360000,4.500000,3.685691,20331500
2019-04-05,4.540000,4.560000,4.470000,4.490000,3.677500,20772600
2019-04-08,4.480000,4.510000,4.420000,4.490000,3.677500,15856000
2019-04-09,4.480000,4.570000,4.460000,4.560000,3.734833,31511600
2019-04-10,4.550000,4.570000,4.510000,4.540000,3.718452,25170200
2019-04-11,4.540000,4.580000,4.420000,4.450000,3.644738,23572700
2019-04-12,4.420000,4.520000,4.350000,4.410000,3.611977,30096600
2019-04-15,4.450000,4.480000,4.420000,4.480000,3.669310,24394600
2019-04-16,4.460000,4.540000,4.440000,4.460000,3.652929,13796900
2019-04-17,4.470000,4.470000,4.290000,4.340000,3.554644,17174200
2019-04-18,4.300000,4.360000,4.270000,4.360000,3.571025,24784000
2019-04-22,4.330000,4.480000,4.330000,4.430000,3.628358,24187500
2019-04-23,4.460000,4.540000,4.460000,4.500000,3.685691,20240800
2019-04-24,4.440000,4.470000,4.350000,4.450000,3.644738,21714600
2019-04-25,4.480000,4.640000,4.440000,4.620000,3.783975,25578800
2019-04-26,4.600000,4.660000,4.570000,4.620000,3.783975,16108400
2019-04-29,4.650000,4.700000,4.620000,4.680000,3.833118,26088500
2019-04-30,4.700000,4.730000,4.600000,4.710000,3.857689,25537200
2019-05-01,4.700000,4.760000,4.630000,4.650000,3.808547,13150600
2019-05-02,4.610000,4.680000,4.530000,4.560000,3.734833,23684300
2019-05-03,4.570000,4.590000,4.490000,4.570000,3.743023,25318700
2019-05-06,4.510000,4.600000,4.490000,4.550000,3.726643,16352800
2019-05-07,4.500000,4.500000,4.310000,4.470000,3.661119,47354700
2019-05-08,4.500000,4.580000,4.490000,4.560000,3.734833,49348300
2019-05-09,4.460000,4.500000,4.400000,4.420000,3.620167,26688400
2019-05-10,4.420000,4.450000,4.320000,4.380000,3.587405,19658400
2019-05-13,4.290000,4.320000,4.250000,4.290000,3.513692,37587000
2019-05-14,4.290000,4.300000,4.210000,4.270000,3.497311,34348700
2019-05-15,4.160000,4.200000,4.140000,4.140000,3.390835,22853300
2019-05-16,4.100000,4.190000,4.090000,4.140000,3.390835,32202600
2019-05-17,4.110000,4.170000,4.010000,4.050000,3.317122,38060800
2019-05-20,4.020000,4.080000,4.000000,4.040000,3.308931,37947200
2019-05-21,4.090000,4.250000,4.050000,4.210000,3.448168,19373000
2019-05-22,4.250000,4.300000,4.220000,4.250000,3.480930,36243500
2019-05-23,4.220000,4.320000,4.210000,4.260000,3.489120,22987600
2019-05-24,4.250000,4.280000,4.180000,4.260000,3.489120,20154200
2019-05-28,4.290000,4.370000,4.260000,4.260000,3.489120,19551700
2019-05-29,4.310000,4.380000,4.290000,4.330000,3.546453,19966000
2019-05-30,4.340000,4.430000,4.330000,4.370000,3.579215,19509900
2019-05-31,4.370000,4.490000,4.360000,4.470000,3.661119,25676300
2019-06-03,4.490000,4.510000,4.440000,4.480000,3.669310,25821300
2019-06-04,4.490000,4.520000,4.460000,4.500000,3.685691,20778900
2019-06-05,4.520000,4.550000,4.460000,4.460000,3.652929,22313600
2019-06-06,4.520000,4.590000,4.510000,4.540000,3.718452,16129400
2019-06-07,4.540000,4.610000,4.540000,4.540000,3.718452,13608700
2019-06-10,4.550000,4.620000,4.540000,4.560000,3.734833,15307100
2019-06-11,4.580000,4.650000,4.550000,4.610000,3.775785,26309200
2019-06-12,4.580000,4.640000,4.520000,4.540000,3.718452,17706500
2019-06-13,4.620000,4.670000,4.600000,4.640000,3.800357,17094000
2019-06-14,4.610000,4.650000,4.510000,4.510000,3.693882,24640100
2019-06-17,4.530000,4.610000,4.530000,4.550000,3.726643,25615200
2019-06-18,4.600000,4.700000,4.600000,4.690000,3.841308,16551600
2019-06-19,4.670000,4.760000,4.650000,4.750000,3.890451,29055700
2019-06-20,4.790000,4.870000,4.780000,4.820000,3.947784,13904900
2019-06-21,4.810000,4.860000,4.800000,4.810000,3.939594,31790500
2019-06-24,4.800000,4.840000,4.780000,4.820000,3.947784,15969100
2019-06-25,4.770000,4.820000,4.700000,4.750000,3.890451,23980100
2019-06-26,4.740000,4.770000,4.660000,4.700000,3.849498,27089100
2019-06-27,4.660000,4.710000,4.600000,4.710000,3.857689,26697900
2019-06-28,4.730000,4.750000,4.650000,4.670000,3.824928,20768600
2019-07-01,4.740000,4.740000,4.600000,4.630000,3.792166,28570900
2019-07-02,4.650000,4.760000,4.590000,4.700000,3.849498,29151600
2019-07-03,4.740000,4.870000,4.740000,4.820000,3.947784,25311200
2019-07-05,4.910000,4.980000,4.860000,4.970000,4.070640,32598500
2019-07-08,5.000000,5.010000,4.890000,4.940000,4.046069,30062200
2019-07-09,4.910000,4.990000,4.900000,4.960000,4.062450,14064600
2019-07-10,5.070000,5.070000,4.980000,5.050000,4.136164,36500500
2019-07-11,5.080000,5.090000,4.920000,4.950000,4.054259,27402100
2019-07-12,4.900000,4.930000,4.830000,4.840000,3.964165,50633800
2019-07-15,4.860000,4.900000,4.800000,4.830000,3.955974,29021400
2019-07-16,4.850000,4.860000,4.760000,4.780000,3.915023,18581100
2019-07-17,4.770000,4.830000,4.740000,4.740000,3.882261,14710700
2019-07-18,4.760000,4.890000,4.750000,4.850000,3.972355,16318600
2019-07-19,4.920000,4.930000,4.800000,4.800000,3.931403,22680600
2019-07-22,4.850000,4.860000,4.760000,4.770000,3.906832,20402300
2019-07-23,4.810000,4.840000,4.770000,4.790000,3.923213,16716400
2019-07-24,4.790000,4.820000,4.720000,4.730000,3.874070,18433100
2019-07-25,5.090000,5.200000,5.040000,5.160000,4.226259,53426200
2019-07-26,5.200000,5.270000,5.140000,5.240000,4.291781,21620700
2019-07-29,5.230000,5.430000,5.200000,5.400000,4.422829,35419600
2019-07-30,5.420000,5.450000,5.310000,5.320000,4.357305,28687700
2019-07-31,5.320000,5.360000,5.170000,5.270000,4.316353,32962700
2019-08-01,5.280000,5.400000,5.250000,5.290000,4.332734,34618000
2019-08-02,5.280000,5.310000,5.210000,5.240000,4.291781,19844600
2019-08-05,5.150000,5.170000,5.050000,5.090000,4.168925,23862800
2019-08-06,5.120000,5.170000,5.030000,5.150000,4.218068,24527800
2019-08-07,5.050000,5.220000,5.030000,5.210000,4.267210,27392500
2019-08-08,5.120000,5.170000,5.080000,5.100000,4.177115,48231600
2019-08-09,5.110000,5.120000,5.050000,5.050000,4.136164,27518200
2019-08-12,4.870000,4.900000,4.820000,4.880000,3.996927,25714700
2019-08-13,4.830000,4.940000,4.810000,4.870000,3.988736,25557000
2019-08-14,4.770000,4.800000,4.660000,4.680000,3.833118,25831300
2019-08-15,4.730000,4.740000,4.590000,4.640000,3.800357,34098200
2019-08-16,4.680000,4.740000,4.660000,4.700000,3.849498,21250600
2019-08-19,4.750000,4.760000,4.590000,4.670000,3.824928,20560800
2019-08-20,4.650000,4.730000,4.640000,4.660000,3.816737,17027500
2019-08-21,4.700000,4.710000,4.640000,4.650000,3.808547,22464200
2019-08-22,4.630000,4.670000,4.490000,4.590000,3.759404,34970000
2019-08-23,4.560000,4.580000,4.380000,4.420000,3.620167,40148200
2019-08-26,4.430000,4.460000,4.320000,4.370000,3.579215,18155800
2019-08-27,4.380000,4.450000,4.310000,4.370000,3.579215,31087300
2019-08-28,4.350000,4.400000,4.310000,4.390000,3.595596,22231900
2019-08-29,4.390000,4.480000,4.380000,4.480000,3.669310,23878300
2019-08-30,4.490000,4.570000,4.490000,4.540000,3.718452,28067600
2019-09-03,4.430000,4.540000,4.410000,4.440000,3.636548,29304400
2019-09-04,4.500000,4.600000,4.500000,4.580000,3.751214,19266300
2019-09-05,4.630000,4.670000,4.560000,4.580000,3.751214,18406200
2019-09-06,4.630000,4.660000,4.560000,4.610000,3.775785,17169800
2019-09-09,4.580000,4.640000,4.580000,4.600000,3.767595,12381100
2019-09-10,4.590000,4.670000,4.540000,4.600000,3.767595,19609000
2019-09-11,4.660000,4.760000,4.610000,4.650000,3.808547,21383900
2019-09-12,4.740000,4.800000,4.700000,4.790000,3.923213,32800400
2019-09-13,4.770000,4.810000,4.650000,4.660000,3.816737,23954300
2019-09-16,4.640000,4.720000,4.630000,4.690000,3.841308,10865300
2019-09-17,4.650000,4.790000,4.650000,4.770000,3.906832,13526400
2019-09-18,4.740000,4.770000,4.660000,4.680000,3.833118,53699300
2019-09-19,4.710000,4.760000,4.640000,4.640000,3.800357,32608600
2019-09-20,4.640000,4.670000,4.580000,4.630000,3.792166,24583500
2019-09-23,4.630000,4.700000,4.630000,4.650000,3.808547,21375900
2019-09-24,4.660000,4.670000,4.570000,4.640000,3.800357,29672200
2019-09-25,4.610000,4.730000,4.610000,4.730000,3.874070,23106100
2019-09-26,4.740000,4.760000,4.670000,4.680000,3.833118,20299000
2019-09-27,4.680000,4.720000,4.650000,4.690000,3.841308,12871200
2019-09-30,4.720000,4.720000,4.610000,4.620000,3.783975,14098300
2019-10-01,4.620000,4.690000,4.580000,4.670000,3.824928,26957700
2019-10-02,4.620000,4.640000,4.540000,4.540000,3.718452,20598500
2019-10-03,4.540000,4.590000,4.510000,4.530000,3.710262,17942900
2019-10-04,4.570000,4.780000,4.550000,4.750000,3.890451,30270500
2019-10-07,4.720000,4.740000,4.580000,4.580000,3.751214,13558300
2019-10-08,4.600000,4.610000,4.520000,4.540000,3.718452,22207900
2019-10-09,4.540000,4.600000,4.540000,4.560000,3.734833,14752100
2019-10-10,4.540000,4.540000,4.430000,4.470000,3.661119,21839200
2019-10-11,4.500000,4.600000,4.490000,4.550000,3.726643,18993800
2019-10-14,4.540000,4.560000,4.500000,4.560000,3.734833,9680000
2019-10-15,4.550000,4.590000,4.520000,4.520000,3.702071,10583700
2019-10-16,4.510000,4.550000,4.490000,4.520000,3.702071,16441200
2019-10-17,4.570000,4.580000,4.490000,4.490000,3.677500,10384800
2019-10-18,4.520000,4.570000,4.500000,4.520000,3.702071,5803700
2019-10-21,4.510000,4.590000,4.500000,4.580000,3.751214,12700500
2019-10-22,4.610000,4.690000,4.580000,4.590000,3.759404,18203700
2019-10-23,4.560000,4.640000,4.560000,4.620000,3.783975,11034600
2019-10-24,4.710000,4.810000,4.710000,4.730000,3.874070,30702300
2019-10-25,4.480000,4.510000,4.380000,4.430000,3.628358,48559400
