Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,6.600000,6.610000,6.240000,6.320000,6.266615,3910600
2019-04-02,6.230000,6.380000,6.220000,6.300000,6.246784,1999200
2019-04-03,6.350000,6.420000,6.260000,6.340000,6.286445,2541400
2019-04-04,6.230000,6.550000,6.160000,6.550000,6.494671,2597600
2019-04-05,6.470000,6.530000,6.410000,6.450000,6.395516,1349400
2019-04-08,6.590000,6.660000,6.500000,6.540000,6.484756,2087300
2019-04-09,6.570000,6.640000,6.540000,6.600000,6.544249,1383700
2019-04-10,6.580000,6.640000,6.480000,6.480000,6.425263,1729900
2019-04-11,6.350000,6.440000,6.240000,6.300000,6.246784,2597300
2019-04-12,6.350000,6.400000,6.250000,6.270000,6.217037,1639400
2019-04-15,6.190000,6.330000,6.120000,6.280000,6.226953,2160400
2019-04-16,6.230000,6.230000,6.040000,6.070000,6.018726,2873700
2019-04-17,6.120000,6.210000,6.000000,6.040000,5.988979,2679200
2019-04-18,6.080000,6.180000,6.010000,6.070000,6.018726,2111300
2019-04-22,6.040000,6.130000,5.880000,5.900000,5.850162,2470800
2019-04-23,5.810000,6.020000,5.780000,5.950000,5.899740,2662100
2019-04-24,5.960000,6.080000,5.880000,5.990000,5.939402,2935200
2019-04-25,6.030000,6.120000,5.940000,6.010000,5.959233,2994700
2019-04-26,6.050000,6.350000,6.050000,6.320000,6.266615,4134700
2019-04-29,6.260000,6.260000,6.030000,6.080000,6.028641,2357300
2019-04-30,6.100000,6.180000,6.070000,6.140000,6.088136,1815900
2019-05-01,6.100000,6.240000,5.900000,5.970000,5.919571,3306800
2019-05-02,5.900000,5.920000,5.650000,5.740000,5.691513,3876300
2019-05-03,5.850000,5.940000,5.790000,5.830000,5.780754,2379300
2019-05-06,5.770000,5.880000,5.730000,5.830000,5.780754,1328500
2019-05-07,5.880000,6.050000,5.740000,6.030000,5.979064,2765400
2019-05-08,6.040000,6.120000,5.820000,5.840000,5.790669,2413600
2019-05-09,5.920000,6.060000,5.830000,6.000000,5.949317,3527000
2019-05-10,5.960000,5.970000,5.850000,5.880000,5.830331,2861800
2019-05-13,5.990000,6.070000,5.890000,6.070000,6.018726,3357100
2019-05-14,6.050000,6.050000,5.820000,5.930000,5.879909,1932000
2019-05-15,5.990000,6.050000,5.910000,5.930000,5.879909,1774500
2019-05-16,5.900000,5.910000,5.740000,5.800000,5.751007,2261900
2019-05-17,5.750000,5.890000,5.700000,5.860000,5.810500,2521000
2019-05-20,5.830000,5.870000,5.790000,5.810000,5.760922,1093700
2019-05-21,5.750000,5.810000,5.650000,5.770000,5.721261,2395600
2019-05-22,5.810000,5.830000,5.530000,5.530000,5.483288,2681500
2019-05-23,5.610000,5.770000,5.540000,5.600000,5.552696,2816600
2019-05-24,5.570000,5.700000,5.480000,5.670000,5.622105,2156400
2019-05-28,5.600000,5.660000,5.480000,5.550000,5.503119,3591400
2019-05-29,5.620000,5.640000,5.510000,5.540000,5.493203,2153300
2019-05-30,5.530000,5.770000,5.490000,5.740000,5.691513,2475900
2019-05-31,5.870000,6.130000,5.850000,6.080000,6.028641,3651700
2019-06-03,6.200000,6.460000,6.120000,6.450000,6.395516,4190500
2019-06-04,6.340000,6.550000,6.260000,6.390000,6.336023,3813900
2019-06-05,6.540000,6.720000,6.310000,6.360000,6.306277,4113500
2019-06-06,6.420000,6.520000,6.340000,6.490000,6.435178,2177100
2019-06-07,6.580000,6.610000,6.410000,6.440000,6.385601,2113900
2019-06-10,6.280000,6.320000,6.180000,6.300000,6.246784,2220200
2019-06-11,6.260000,6.470000,6.220000,6.470000,6.415348,1882900
2019-06-12,6.550000,6.650000,6.470000,6.560000,6.504586,1881600
2019-06-13,6.560000,6.690000,6.500000,6.630000,6.573996,1689900
2019-06-14,6.690000,6.820000,6.410000,6.550000,6.494671,2741500
2019-06-17,6.540000,6.740000,6.540000,6.720000,6.663236,2369000
2019-06-18,6.820000,6.860000,6.660000,6.730000,6.673151,2457700
2019-06-19,6.690000,6.930000,6.660000,6.900000,6.841715,2864600
2019-06-20,7.230000,7.550000,7.150000,7.380000,7.317660,6927500
2019-06-21,7.350000,7.500000,7.170000,7.460000,7.396985,5466900
2019-06-24,7.550000,8.030000,7.510000,8.010000,7.942339,6986300
2019-06-25,8.000000,8.130000,7.680000,7.900000,7.833268,7085300
2019-06-26,7.660000,8.020000,7.630000,7.830000,7.763859,4529500
2019-06-27,7.700000,7.800000,7.610000,7.770000,7.704366,3484300
2019-06-28,7.810000,7.920000,7.720000,7.910000,7.843183,3723500
2019-07-01,7.610000,7.720000,7.430000,7.450000,7.387068,4093000
2019-07-02,7.500000,7.960000,7.360000,7.930000,7.863015,4265300
2019-07-03,8.000000,8.000000,7.780000,7.880000,7.813437,1713400
2019-07-05,7.610000,7.840000,7.510000,7.780000,7.714282,3507800
2019-07-08,7.820000,7.870000,7.690000,7.780000,7.714282,2682500
2019-07-09,7.780000,7.920000,7.690000,7.910000,7.843183,2842700
2019-07-10,8.110000,8.250000,7.970000,8.140000,8.071240,3683600
2019-07-11,8.140000,8.160000,7.820000,7.930000,7.863015,3436800
2019-07-12,7.940000,7.950000,7.780000,7.800000,7.734113,3693800
2019-07-15,7.810000,7.920000,7.730000,7.910000,7.843183,3794600
2019-07-16,7.930000,8.690000,7.900000,8.570000,8.497606,7700900
2019-07-17,8.750000,9.370000,8.710000,9.310000,9.231358,8908100
2019-07-18,9.320000,9.980000,9.200000,9.920000,9.836205,11488000
2019-07-19,9.890000,10.240000,9.640000,9.900000,9.816374,9735400
2019-07-22,10.030000,10.360000,10.000000,10.100000,10.014685,8325600
2019-07-23,10.120000,10.360000,9.740000,10.020000,9.935358,7037000
2019-07-24,10.250000,10.390000,10.140000,10.260000,10.173332,5564300
2019-07-25,10.180000,10.210000,9.540000,9.670000,9.588317,8060100
2019-07-26,9.760000,9.910000,9.690000,9.820000,9.737049,3661800
2019-07-29,9.870000,10.010000,9.640000,9.980000,9.895697,3172900
2019-07-30,10.030000,10.160000,9.950000,10.060000,9.975021,3393000
2019-07-31,9.980000,10.020000,9.140000,9.420000,9.340429,11229100
2019-08-01,9.020000,9.940000,8.960000,9.840000,9.756881,9153600
2019-08-02,9.710000,9.830000,9.490000,9.550000,9.469330,6031000
2019-08-05,9.960000,10.400000,9.930000,10.020000,9.935358,6506600
2019-08-06,9.990000,10.150000,9.780000,9.890000,9.806459,4505700
2019-08-07,10.380000,10.970000,10.380000,10.480000,10.391473,9700700
2019-08-08,10.240000,10.860000,10.160000,10.810000,10.718687,4664100
2019-08-09,10.820000,10.880000,10.650000,10.710000,10.619531,6199800
2019-08-12,10.750000,11.110000,10.630000,10.660000,10.569954,6437500
2019-08-13,10.960000,11.000000,9.830000,10.270000,10.183249,11310100
2019-08-14,10.530000,10.740000,10.160000,10.180000,10.094009,6713500
2019-08-15,10.060000,10.350000,9.930000,10.260000,10.173332,3832600
2019-08-16,10.050000,10.260000,9.820000,9.900000,9.816374,4983200
2019-08-19,9.600000,10.350000,9.470000,9.990000,9.905613,5158100
2019-08-20,10.150000,10.630000,10.110000,10.500000,10.411305,3707000
2019-08-21,10.390000,10.650000,10.370000,10.440000,10.351810,2779200
2019-08-22,10.350000,10.530000,10.270000,10.310000,10.222910,2202000
2019-08-23,10.410000,11.060000,10.380000,11.010000,10.916997,5221500
2019-08-26,11.100000,11.220000,10.830000,10.950000,10.857504,4734000
2019-08-27,11.230000,11.460000,11.120000,11.250000,11.154971,6574500
2019-08-28,11.350000,11.570000,11.020000,11.210000,11.115307,4927800
2019-08-29,11.280000,11.290000,10.550000,10.740000,10.649277,6388800
2019-08-30,10.790000,11.070000,10.700000,10.880000,10.788096,3943900
2019-09-03,11.130000,11.620000,11.080000,11.280000,11.184717,6525700
2019-09-04,11.270000,11.450000,11.110000,11.320000,11.224378,4934800
2019-09-05,10.890000,10.970000,10.100000,10.280000,10.193164,8793300
2019-09-06,10.280000,10.430000,9.850000,9.870000,9.786629,6150200
2019-09-09,9.850000,9.930000,9.420000,9.730000,9.647809,6643400
2019-09-10,9.630000,10.020000,9.530000,9.770000,9.687472,4779000
2019-09-11,9.860000,10.220000,9.770000,9.960000,9.875866,4278200
2019-09-12,10.350000,10.500000,9.760000,9.780000,9.697388,5455800
2019-09-13,9.830000,9.950000,9.300000,9.310000,9.231358,5981100
2019-09-16,9.670000,9.800000,9.300000,9.670000,9.588317,4147000
2019-09-17,9.780000,9.860000,9.570000,9.800000,9.717218,3230100
2019-09-18,9.780000,9.900000,9.310000,9.630000,9.548655,4838400
2019-09-19,9.650000,10.050000,9.630000,9.970000,9.885783,3104400
2019-09-20,9.950000,10.140000,9.770000,10.090000,10.004769,4904900
2019-09-23,10.390000,10.660000,10.280000,10.500000,10.411305,7987800
2019-09-24,10.320000,10.640000,10.100000,10.530000,10.441051,5350300
2019-09-25,10.380000,10.470000,9.780000,10.000000,9.915529,6011700
2019-09-26,9.940000,10.090000,9.880000,9.900000,9.816374,4266600
2019-09-27,9.560000,9.790000,9.440000,9.630000,9.548655,5362900
2019-09-30,9.320000,9.480000,8.910000,9.090000,9.013215,7209200
2019-10-01,9.120000,9.490000,8.980000,9.210000,9.132202,5526100
2019-10-02,9.500000,9.530000,9.200000,9.480000,9.399921,3467300
2019-10-03,9.500000,9.840000,9.440000,9.470000,9.390006,3745500
2019-10-04,9.420000,9.700000,9.310000,9.660000,9.578403,2431200
2019-10-07,9.600000,9.710000,9.430000,9.520000,9.439584,2191600
2019-10-08,9.720000,9.880000,9.570000,9.860000,9.776712,3139900
2019-10-09,9.850000,9.960000,9.640000,9.670000,9.588317,3044900
2019-10-10,9.630000,9.780000,9.420000,9.750000,9.667642,3333300
2019-10-11,9.620000,9.640000,9.180000,9.220000,9.142119,4321900
2019-10-14,9.310000,9.520000,9.240000,9.440000,9.360259,1743300
2019-10-15,9.330000,9.390000,9.160000,9.190000,9.112371,4023600
2019-10-16,9.320000,9.960000,9.270000,9.950000,9.865952,4972000
2019-10-17,9.910000,10.400000,9.880000,10.370000,10.282404,5069200
2019-10-18,10.310000,10.500000,10.030000,10.240000,10.153500,3535600
2019-10-21,10.370000,10.450000,9.930000,9.960000,9.875866,3051800
2019-10-22,9.980000,10.100000,9.760000,9.890000,9.806459,2894200
2019-10-23,9.960000,10.270000,9.950000,10.040000,9.955191,3116300
2019-10-24,10.080000,10.450000,10.080000,10.450000,10.361727,2722100
2019-10-25,10.840000,10.980000,10.430000,10.750000,10.659194,5665300
2019-10-28,10.550000,10.600000,10.270000,10.310000,10.222910,3637000
2019-10-29,10.170000,10.440000,10.120000,10.310000,10.222910,2918100
2019-10-30,10.380000,10.420000,9.940000,10.370000,10.282404,4097900
2019-10-31,10.590000,10.710000,10.350000,10.670000,10.579868,4332200
2019-11-01,10.510000,11.000000,10.460000,10.990000,10.897166,4199800
2019-11-04,10.970000,10.970000,10.630000,10.650000,10.560039,4527500
2019-11-05,10.310000,10.350000,9.960000,10.140000,10.054347,8752600
2019-11-06,10.200000,10.250000,9.890000,10.180000,10.094009,5372400
2019-11-07,10.040000,10.430000,9.570000,9.690000,9.608149,7852100
2019-11-08,9.470000,9.970000,9.410000,9.800000,9.717218,3845000
2019-11-11,9.840000,10.250000,9.770000,10.230000,10.143585,5030500
2019-11-12,10.150000,10.610000,10.070000,10.590000,10.500547,4798200
2019-11-13,10.750000,10.780000,10.470000,10.500000,10.411305,3542900
2019-11-14,10.600000,10.770000,10.500000,10.760000,10.669110,2943200
2019-11-15,10.590000,10.720000,10.550000,10.600000,10.510463,2262200
2019-11-18,10.530000,10.870000,10.530000,10.840000,10.748434,2820700
2019-11-19,10.770000,11.060000,10.740000,10.830000,10.738518,3735900
2019-11-20,10.850000,10.990000,10.730000,10.960000,10.867420,2651200
2019-11-21,10.890000,10.960000,10.500000,10.510000,10.421221,3144300
2019-11-22,10.550000,10.640000,10.330000,10.510000,10.421221,2368600
2019-11-25,10.370000,10.670000,10.340000,10.410000,10.322064,1835000
2019-11-26,10.480000,10.870000,10.430000,10.820000,10.728601,3047200
2019-11-27,10.750000,10.750000,10.370000,10.560000,10.470799,2964600
2019-11-29,10.560000,10.800000,10.500000,10.760000,10.669110,2135600
2019-12-02,10.610000,10.930000,10.560000,10.910000,10.817842,3100500
2019-12-03,11.160000,11.380000,11.080000,11.260000,11.164886,5368200
2019-12-04,11.190000,11.240000,10.900000,11.030000,10.936827,3815500
2019-12-05,11.050000,11.460000,10.980000,11.230000,11.135140,3475400
2019-12-06,10.890000,10.900000,10.470000,10.470000,10.381558,6573800
2019-12-09,10.640000,10.660000,10.370000,10.410000,10.322064,3094500
2019-12-10,10.560000,10.600000,10.450000,10.590000,10.500547,2304900
2019-12-11,10.580000,10.820000,10.460000,10.710000,10.619531,5357300
2019-12-12,10.940000,11.060000,10.550000,10.690000,10.599699,5806400
2019-12-13,10.650000,11.230000,10.650000,11.230000,11.135140,6247000
2019-12-16,11.290000,11.490000,11.100000,11.140000,11.045900,4937600
2019-12-17,11.150000,11.380000,11.120000,11.140000,11.045900,2819200
2019-12-18,10.950000,11.020000,10.530000,10.880000,10.788096,7191700
2019-12-19,10.740000,10.960000,10.680000,10.800000,10.708773,3855400
2019-12-20,10.850000,10.850000,10.350000,10.360000,10.272489,5684900
2019-12-23,10.540000,11.230000,10.490000,11.230000,11.135140,6785700
2019-12-24,11.320000,11.980000,11.300000,11.960000,11.858974,4323200
2019-12-26,12.160000,12.540000,11.900000,12.160000,12.057282,5946400
2019-12-27,12.040000,12.190000,11.860000,11.890000,11.789563,5445200
2019-12-30,11.980000,12.600000,11.980000,12.410000,12.305171,5642200
2019-12-31,12.540000,12.690000,12.250000,12.260000,12.156439,4659300
2020-01-02,12.420000,12.550000,12.140000,12.220000,12.116777,3648800
2020-01-03,12.450000,12.480000,11.910000,11.970000,11.868889,4012400
2020-01-06,12.260000,12.260000,11.540000,11.650000,11.551591,6245000
2020-01-07,11.650000,12.000000,11.580000,11.950000,11.849057,3730000
2020-01-08,11.770000,11.770000,11.080000,11.180000,11.085562,6945300
2020-01-09,10.960000,11.180000,10.840000,10.850000,10.758349,4694600
2020-01-10,11.010000,11.220000,10.970000,11.010000,10.916997,4739500
2020-01-13,10.920000,10.950000,10.530000,10.630000,10.540209,4292100
2020-01-14,10.530000,10.870000,10.510000,10.830000,10.738518,4057500
2020-01-15,11.040000,11.160000,10.700000,11.060000,10.966576,4337000
2020-01-16,11.010000,11.170000,10.860000,11.050000,10.956661,2876200
2020-01-17,11.120000,11.120000,10.410000,10.530000,10.441051,6290100
2020-01-21,10.370000,10.520000,9.810000,10.460000,10.371644,6482000
2020-01-22,10.380000,10.630000,10.290000,10.330000,10.242741,3208000
2020-01-23,10.200000,10.590000,10.150000,10.190000,10.103923,3153800
2020-01-24,10.240000,10.630000,10.200000,10.580000,10.490629,3924100
2020-01-27,10.790000,10.880000,10.100000,10.150000,10.064261,5145300
2020-01-28,10.040000,10.160000,9.810000,9.920000,9.836205,4741600
2020-01-29,9.960000,10.140000,9.770000,10.080000,9.994854,3537800
2020-01-30,10.210000,10.280000,9.930000,10.000000,9.915529,3418400
2020-01-31,10.000000,10.180000,9.970000,10.070000,9.984939,3058800
2020-02-03,9.980000,10.020000,9.630000,9.790000,9.707304,3148400
2020-02-04,9.670000,9.740000,9.360000,9.520000,9.439584,3360100
2020-02-05,9.550000,9.860000,9.500000,9.740000,9.657724,2847500
2020-02-06,9.850000,10.000000,9.680000,9.900000,9.816374,3208400
2020-02-07,9.890000,10.030000,9.570000,9.570000,9.489161,3261400
2020-02-10,9.630000,9.900000,9.520000,9.820000,9.737049,2939400
2020-02-11,9.800000,9.860000,9.520000,9.750000,9.667642,2579500
2020-02-12,9.700000,9.730000,9.580000,9.600000,9.518909,2267900
2020-02-13,9.750000,9.850000,9.580000,9.630000,9.548655,3253300
2020-02-14,9.640000,9.870000,9.560000,9.600000,9.518909,3845400
2020-02-18,9.750000,10.290000,9.740000,10.130000,10.044432,7138100
2020-02-19,10.180000,10.210000,9.260000,9.320000,9.241272,14475400
2020-02-20,9.390000,10.120000,9.330000,9.720000,9.637893,8905100
2020-02-21,9.960000,10.030000,9.810000,9.960000,9.875866,6532900
2020-02-24,10.270000,10.280000,9.690000,9.810000,9.727135,7428100
2020-02-25,9.600000,9.850000,9.340000,9.340000,9.261103,5235500
2020-02-26,9.290000,9.530000,9.080000,9.240000,9.161950,4600400
2020-02-27,9.350000,9.430000,8.250000,8.300000,8.229890,8677000
2020-02-28,7.190000,7.820000,6.860000,7.540000,7.476310,13321000
2020-03-02,7.900000,8.100000,7.640000,7.910000,7.843183,4999000
2020-03-03,8.130000,8.490000,7.780000,8.080000,8.011748,9637500
2020-03-04,8.080000,8.190000,7.780000,8.080000,8.011748,3835200
2020-03-05,8.150000,8.300000,7.900000,8.160000,8.091071,5156900
2020-03-06,8.170000,8.180000,7.580000,7.920000,7.853100,5549700
2020-03-09,7.340000,7.680000,6.900000,7.110000,7.049941,3745600
2020-03-10,7.390000,7.540000,6.960000,7.380000,7.317660,3926500
2020-03-11,7.300000,7.340000,6.420000,6.570000,6.514503,6245500
2020-03-12,5.560000,6.690000,5.400000,5.640000,5.592359,7826500
2020-03-13,5.940000,5.950000,4.950000,5.000000,4.957765,8888200
2020-03-16,4.280000,5.840000,4.170000,5.490000,5.443625,9076400
2020-03-17,5.350000,6.710000,5.300000,6.290000,6.236867,8819900
2020-03-18,5.840000,6.600000,5.350000,5.400000,5.354386,6896400
2020-03-19,5.500000,6.460000,4.800000,5.620000,5.572527,6005100
2020-03-20,6.130000,6.210000,5.500000,5.510000,5.463457,6340700
2020-03-23,5.930000,6.380000,5.440000,6.000000,5.949317,6855100
2020-03-24,7.150000,7.380000,6.600000,7.230000,7.168927,9844000
2020-03-25,7.050000,7.900000,6.850000,7.410000,7.347407,8457700
2020-03-26,7.420000,7.900000,7.050000,7.240000,7.178842,6015500
2020-03-27,7.000000,7.170000,6.540000,6.820000,6.762392,5203800
2020-03-30,6.720000,6.980000,6.100000,6.390000,6.336023,5117200
2020-03-31,6.450000,6.600000,6.180000,6.190000,6.137713,3517600
2020-04-01,6.060000,6.350000,5.870000,6.110000,6.058389,5420300
2020-04-02,6.350000,6.660000,6.210000,6.300000,6.246784,4608000
2020-04-03,6.300000,6.540000,6.000000,6.050000,5.998895,3867100
2020-04-06,6.300000,6.650000,6.190000,6.540000,6.484756,5820100
2020-04-07,6.750000,6.990000,6.420000,6.490000,6.435178,4322100
2020-04-08,6.520000,6.690000,6.350000,6.400000,6.345938,3542700
2020-04-09,6.750000,7.190000,6.640000,7.070000,7.010280,5755700
2020-04-13,7.100000,7.770000,6.660000,7.670000,7.605212,5834400
2020-04-14,8.030000,8.500000,7.410000,7.630000,7.565549,7147300
2020-04-15,7.360000,7.650000,7.140000,7.390000,7.327576,4681100
2020-04-16,7.470000,7.570000,7.130000,7.350000,7.287913,4492800
2020-04-17,7.160000,7.330000,6.940000,6.970000,6.911124,5821800
2020-04-20,7.020000,7.490000,6.980000,7.180000,7.119350,4859800
2020-04-21,6.810000,7.220000,6.760000,7.140000,7.079688,4590100
2020-04-22,7.350000,7.570000,7.340000,7.400000,7.337491,3861700
2020-04-23,7.650000,8.030000,7.450000,7.630000,7.565549,6919700
2020-04-24,7.800000,7.860000,7.310000,7.700000,7.634957,4992200
2020-04-27,7.730000,7.800000,7.390000,7.770000,7.704366,4219600
2020-04-28,7.760000,8.190000,7.660000,8.110000,8.041493,4674600
2020-04-29,8.150000,8.650000,8.060000,8.630000,8.557101,6351100
2020-04-30,8.660000,8.700000,7.950000,8.070000,8.001834,5605600
2020-05-01,7.880000,8.350000,7.760000,8.320000,8.249720,4268300
2020-05-04,8.400000,8.480000,8.180000,8.210000,8.140650,4368300
2020-05-05,8.300000,8.360000,7.890000,8.170000,8.100988,4308200
2020-05-06,8.020000,8.130000,7.810000,7.940000,7.872931,3098900
2020-05-07,8.110000,8.480000,7.970000,8.370000,8.299298,4981400
2020-05-08,8.410000,8.690000,8.220000,8.280000,8.210058,4119700
2020-05-11,8.320000,8.330000,7.800000,7.800000,7.734113,5963000
2020-05-12,7.950000,8.240000,7.860000,7.910000,7.843183,4184500
