Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,8.220000,8.340000,8.200000,8.310000,6.871558,3773000
2019-04-02,8.330000,8.410000,8.300000,8.390000,6.937712,3579600
2019-04-03,8.560000,8.630000,8.550000,8.590000,7.103091,4129100
2019-04-04,8.550000,8.630000,8.540000,8.560000,7.078285,2499800
2019-04-05,8.460000,8.470000,8.410000,8.450000,6.987324,2045800
2019-04-08,8.450000,8.490000,8.410000,8.440000,6.979054,2577900
2019-04-09,8.410000,8.420000,8.350000,8.380000,6.929441,2483600
2019-04-10,8.410000,8.470000,8.360000,8.440000,6.979054,2226500
2019-04-11,8.500000,8.590000,8.480000,8.520000,7.045208,1694800
2019-04-12,8.700000,8.770000,8.640000,8.670000,7.169244,2538300
2019-04-15,8.770000,8.780000,8.710000,8.740000,7.227126,2795800
2019-04-16,8.780000,8.780000,8.680000,8.750000,7.235396,3101600
2019-04-17,8.810000,8.860000,8.740000,8.860000,7.326355,4334100
2019-04-18,8.780000,8.810000,8.740000,8.750000,7.235396,2159600
2019-04-22,8.720000,8.730000,8.650000,8.700000,7.194050,1769700
2019-04-23,8.570000,8.620000,8.530000,8.590000,7.103091,4809100
2019-04-24,8.530000,8.590000,8.460000,8.510000,7.036939,3078300
2019-04-25,8.230000,8.290000,8.170000,8.270000,6.838483,4150400
2019-04-26,8.260000,8.340000,8.250000,8.340000,6.896366,1713500
2019-04-29,8.430000,8.560000,8.430000,8.540000,7.061746,2607100
2019-04-30,8.500000,8.570000,8.460000,8.560000,7.078285,2097700
2019-05-01,8.550000,8.600000,8.460000,8.480000,7.012131,2068100
2019-05-02,8.560000,8.580000,8.500000,8.540000,7.061746,1668700
2019-05-03,8.520000,8.610000,8.490000,8.610000,7.119629,1691500
2019-05-06,8.330000,8.520000,8.330000,8.490000,7.020400,2083800
2019-05-07,8.340000,8.360000,8.240000,8.280000,6.846751,3046700
2019-05-08,8.190000,8.300000,8.190000,8.260000,6.830214,3282600
2019-05-09,8.140000,8.230000,8.120000,8.210000,6.788868,2132200
2019-05-10,8.250000,8.290000,8.150000,8.280000,6.846751,3945200
2019-05-13,8.060000,8.080000,7.950000,7.980000,6.598680,3038400
2019-05-14,8.080000,8.130000,8.050000,8.110000,6.706177,1783900
2019-05-15,8.100000,8.200000,8.060000,8.160000,6.747522,2632500
2019-05-16,8.160000,8.220000,8.160000,8.200000,6.780599,1936400
2019-05-17,8.000000,8.090000,8.000000,8.020000,6.631756,2345800
2019-05-20,7.920000,7.970000,7.900000,7.940000,6.565605,2105700
2019-05-21,7.990000,8.040000,7.950000,7.990000,6.606949,2511600
2019-05-22,7.760000,7.790000,7.700000,7.730000,6.391955,3375400
2019-05-23,7.510000,7.610000,7.490000,7.580000,6.267920,3437900
2019-05-24,7.610000,7.680000,7.530000,7.630000,6.309265,4696800
2019-05-28,7.580000,7.630000,7.560000,7.570000,6.259650,4950100
2019-05-29,7.580000,7.650000,7.550000,7.650000,6.325803,2411800
2019-05-30,7.600000,7.630000,7.500000,7.540000,6.234844,2468600
2019-05-31,7.480000,7.530000,7.450000,7.470000,6.176960,2466600
2019-06-03,7.480000,7.570000,7.470000,7.530000,6.226575,2208100
2019-06-04,7.720000,7.830000,7.700000,7.820000,6.466376,2371900
2019-06-05,7.750000,7.750000,7.660000,7.710000,6.375417,2211100
2019-06-06,7.670000,7.680000,7.580000,7.650000,6.325803,1883800
2019-06-07,7.670000,7.720000,7.640000,7.660000,6.334072,1387300
2019-06-10,7.690000,7.770000,7.690000,7.700000,6.367148,1781200
