Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,2.810000,2.820000,2.700000,2.750000,2.325467,3596100
2019-04-02,2.760000,2.770000,2.710000,2.740000,2.317011,4860300
2019-04-03,2.750000,2.770000,2.700000,2.740000,2.317011,5238000
2019-04-04,2.700000,2.780000,2.670000,2.760000,2.333924,4512500
2019-04-05,2.740000,2.810000,2.740000,2.800000,2.367748,2907900
2019-04-08,2.860000,2.860000,2.670000,2.740000,2.317011,4051900
2019-04-09,2.770000,2.830000,2.740000,2.810000,2.376205,3266400
2019-04-10,2.790000,2.830000,2.750000,2.750000,2.325467,3061300
2019-04-11,2.700000,2.760000,2.690000,2.750000,2.325467,3796100
2019-04-12,2.750000,2.800000,2.730000,2.760000,2.333924,2692400
2019-04-15,2.730000,2.790000,2.710000,2.730000,2.308555,2916000
2019-04-16,2.710000,2.710000,2.650000,2.660000,2.249361,3560800
2019-04-17,2.660000,2.740000,2.650000,2.710000,2.291642,4128200
2019-04-18,2.710000,2.780000,2.670000,2.710000,2.291642,3452300
2019-04-22,2.720000,2.740000,2.670000,2.680000,2.266274,3670100
2019-04-23,2.650000,2.690000,2.630000,2.650000,2.240905,2674100
2019-04-24,2.650000,2.750000,2.620000,2.710000,2.291642,3414200
2019-04-25,2.750000,2.780000,2.660000,2.670000,2.257817,3827200
2019-04-26,2.700000,2.770000,2.700000,2.730000,2.308555,2640700
2019-04-29,2.710000,2.730000,2.660000,2.670000,2.257817,2021900
2019-04-30,2.680000,2.720000,2.670000,2.720000,2.300098,3656400
2019-05-01,2.670000,2.750000,2.640000,2.660000,2.249361,3712600
2019-05-02,2.620000,2.670000,2.580000,2.640000,2.232449,4488000
2019-05-03,2.670000,2.690000,2.610000,2.610000,2.207080,4563200
2019-05-06,2.610000,2.670000,2.600000,2.620000,2.215536,2111600
2019-05-07,2.620000,2.730000,2.610000,2.710000,2.291642,3191200
2019-05-08,2.760000,2.760000,2.570000,2.620000,2.215536,4888200
2019-05-09,2.640000,2.690000,2.620000,2.640000,2.232449,2175600
2019-05-10,2.650000,2.690000,2.610000,2.650000,2.240905,2545200
2019-05-13,2.700000,2.730000,2.660000,2.660000,2.249361,5399500
2019-05-14,2.680000,2.680000,2.620000,2.640000,2.232449,3286500
2019-05-15,2.660000,2.690000,2.640000,2.640000,2.232449,2919000
2019-05-16,2.700000,2.700000,2.610000,2.670000,2.257817,2661900
2019-05-17,2.670000,2.690000,2.620000,2.630000,2.223992,3183300
2019-05-20,2.680000,2.680000,2.640000,2.660000,2.249361,815000
2019-05-21,2.650000,2.720000,2.610000,2.650000,2.240905,2032300
2019-05-22,2.670000,2.670000,2.490000,2.520000,2.130974,3671900
