Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,5.850000,5.890000,5.780000,5.890000,5.603231,6191600
2023-04-11,5.860000,5.890000,5.830000,5.830000,5.546153,5499200
2023-04-12,5.920000,5.930000,5.800000,5.800000,5.517613,13118500
2023-04-13,5.900000,5.980000,5.890000,5.970000,5.679337,17169600
2023-04-14,6.020000,6.040000,5.940000,5.960000,5.669824,11629400
2023-04-17,6.000000,6.000000,5.900000,5.920000,5.631771,12331200
2023-04-18,5.620000,5.630000,5.370000,5.390000,5.127575,35613600
2023-04-19,5.390000,5.430000,5.350000,5.410000,5.146601,19702500
2023-04-20,5.280000,5.330000,5.240000,5.310000,5.051470,17790000
2023-04-21,5.340000,5.350000,5.290000,5.310000,5.051470,15277700
2023-04-24,5.330000,5.350000,5.300000,5.310000,5.051470,6383700
2023-04-25,5.270000,5.290000,5.230000,5.230000,4.975366,9998600
2023-04-26,5.250000,5.290000,5.250000,5.270000,5.013418,10047300
2023-04-27,5.280000,5.400000,5.260000,5.390000,5.127575,12444300
2023-04-28,5.420000,5.510000,5.410000,5.490000,5.222706,9476500
2023-05-01,5.460000,5.510000,5.440000,5.460000,5.194167,4688100
2023-05-02,5.390000,5.410000,5.340000,5.380000,5.118062,8038000
2023-05-03,5.370000,5.400000,5.340000,5.350000,5.089523,8629700
2023-05-04,5.280000,5.340000,5.270000,5.320000,5.060984,7698800
2023-05-05,5.330000,5.440000,5.330000,5.420000,5.156115,7360000
2023-05-08,5.430000,5.460000,5.420000,5.460000,5.194167,4776000
2023-05-09,5.330000,5.340000,5.300000,5.330000,5.070497,8025200
2023-05-10,5.310000,5.330000,5.260000,5.320000,5.060984,13072300
2023-05-11,5.240000,5.240000,5.150000,5.150000,4.899261,8614800
2023-05-12,5.180000,5.210000,5.130000,5.170000,4.918286,10405000
2023-05-15,5.220000,5.310000,5.220000,5.300000,5.041957,5125700
2023-05-16,5.210000,5.240000,5.160000,5.180000,4.927799,6937700
2023-05-17,5.180000,5.270000,5.150000,5.260000,5.003905,7627200
2023-05-18,5.230000,5.250000,5.200000,5.250000,4.994391,7071400
2023-05-19,5.230000,5.280000,5.230000,5.270000,5.013418,8962500
2023-05-22,5.260000,5.300000,5.240000,5.300000,5.041957,10160400
2023-05-23,5.280000,5.290000,5.210000,5.220000,4.965852,8120000
2023-05-24,5.200000,5.200000,5.100000,5.120000,4.870721,8097000
2023-05-25,5.170000,5.180000,5.110000,5.140000,4.889747,5712100
2023-05-26,5.160000,5.270000,5.160000,5.250000,4.994391,7995900
2023-05-30,5.270000,5.280000,5.200000,5.220000,4.965852,5580500
2023-05-31,5.180000,5.200000,5.110000,5.160000,4.908773,6562100
2023-06-01,5.150000,5.210000,5.130000,5.190000,4.937313,5051800
2023-06-02,5.210000,5.240000,5.190000,5.230000,4.975366,5084700
2023-06-05,5.210000,5.210000,5.150000,5.150000,4.899261,3783100
2023-06-06,5.150000,5.150000,5.100000,5.130000,4.880234,5297700
2023-06-07,5.170000,5.210000,5.150000,5.180000,4.927799,5920000
2023-06-08,5.190000,5.210000,5.150000,5.170000,4.918286,5819900
2023-06-09,5.180000,5.220000,5.160000,5.170000,4.918286,6389500
2023-06-12,5.160000,5.290000,5.140000,5.290000,5.032444,10074800
2023-06-13,5.320000,5.340000,5.290000,5.310000,5.051470,4242400
2023-06-14,5.310000,5.360000,5.280000,5.300000,5.041957,8138100
2023-06-15,5.330000,5.420000,5.320000,5.420000,5.156115,6364700
2023-06-16,5.470000,5.470000,5.410000,5.430000,5.165627,9771200
2023-06-20,5.340000,5.360000,5.290000,5.310000,5.051470,5395300
2023-06-21,5.270000,5.270000,5.200000,5.210000,4.956339,4274800
2023-06-22,5.130000,5.130000,5.030000,5.070000,4.823155,9428000
2023-06-23,5.040000,5.100000,5.010000,5.040000,4.794616,10802500
2023-06-26,5.070000,5.100000,5.050000,5.060000,4.813642,4393500
2023-06-27,5.030000,5.140000,5.020000,5.140000,4.889747,9966000
2023-06-28,5.150000,5.180000,5.130000,5.150000,4.899261,10109800
2023-06-29,5.330000,5.380000,5.310000,5.350000,5.089523,14811000
2023-06-30,5.380000,5.450000,5.370000,5.450000,5.184654,11415300
2023-07-03,5.460000,5.480000,5.460000,5.470000,5.203680,2815400
