Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,7.370157,7.394889,7.246496,7.271228,5.751231,27515207
2019-04-02,7.295960,7.295960,7.155812,7.230008,5.718628,17673895
2019-04-03,7.287716,7.337181,7.073372,7.089860,5.607777,39881499
2019-04-04,7.073372,7.304204,7.056884,7.262984,5.744713,16516208
2019-04-05,7.230008,7.403133,7.213520,7.361913,5.822960,15335838
2019-04-08,7.328937,7.386645,7.271228,7.361913,5.822960,11572141
2019-04-09,7.312448,7.312448,7.188788,7.295960,5.770795,12389946
2019-04-10,7.370157,7.403133,7.271228,7.337181,5.803398,21264133
2019-04-11,7.254740,7.287716,7.098104,7.164056,5.666465,20185169
2019-04-12,7.114592,7.221764,6.916735,6.999176,5.536049,38519785
2019-04-15,7.098104,7.106348,6.957955,7.023908,5.555613,17613973
2019-04-16,7.007420,7.106348,6.941467,6.974444,5.516487,39110516
2019-04-17,6.999176,7.015664,6.702391,6.817807,5.392595,28154458
2019-04-18,6.776587,6.999176,6.743611,6.916735,5.470844,21078301
2019-04-22,6.883759,6.966200,6.809563,6.875515,5.438239,12673667
2019-04-23,6.933223,7.032152,6.883759,6.990932,5.529532,12491231
2019-04-24,6.916735,6.924979,6.793075,6.867271,5.431719,18332797
2019-04-25,6.892003,7.056884,6.776587,7.007420,5.542571,18663703
2019-04-26,7.007420,7.131080,6.982688,7.081616,5.601256,11005549
2019-04-29,7.114592,7.155812,7.007420,7.032152,5.562133,17835831
2019-04-30,7.089860,7.164056,6.974444,7.131080,5.640381,26978212
2019-05-01,7.139324,7.180544,7.015664,7.032152,5.562133,13031987
2019-05-02,7.023908,7.139324,6.999176,7.089860,5.610410,13572864
2019-05-03,7.089860,7.139324,7.048640,7.081616,5.603885,47127355
2019-05-06,6.924979,6.957955,6.867271,6.875515,5.440791,18324912
2019-05-07,6.718879,6.793075,6.603462,6.793075,5.375555,35392429
2019-05-08,6.949711,7.015664,6.900247,6.900247,5.460362,17312057
2019-05-09,6.768343,6.875515,6.694147,6.784831,5.369029,20879976
2019-05-10,6.850783,6.875515,6.661171,6.784831,5.369029,14197316
2019-05-13,6.611707,6.644683,6.562242,6.595218,5.218985,26481367
2019-05-14,6.661171,6.669415,6.570486,6.603462,5.225509,15408982
2019-05-15,6.422094,6.603462,6.405606,6.537510,5.173316,17743885
2019-05-16,6.463314,6.529266,6.380874,6.422094,5.081985,17694274
2019-05-17,6.422094,6.479802,6.257214,6.323166,5.003702,40807625
2019-05-20,6.339654,6.529266,6.314922,6.504534,5.147225,44976948
2019-05-21,6.562242,6.850783,6.512778,6.784831,5.369029,42606504
2019-05-22,6.867271,6.924979,6.768343,6.859027,5.427745,31858839
2019-05-23,6.768343,6.900247,6.735367,6.850783,5.421222,32944595
2019-05-24,6.883759,6.883759,6.768343,6.826051,5.401650,21594069
2019-05-28,6.859027,6.990932,6.817807,6.933223,5.486457,23431642
2019-05-29,7.040396,7.230008,7.015664,7.155812,5.662598,29880072
2019-05-30,7.221764,7.337181,7.221764,7.246496,5.734358,14223517
2019-05-31,7.279472,7.444353,7.271228,7.337181,5.806118,21571264
2019-06-03,7.427865,7.436109,7.328937,7.386645,5.847891,16611065
2019-06-04,7.427865,7.485573,7.386645,7.460841,5.906631,20320783
2019-06-05,7.460841,7.469085,7.238252,7.295960,5.776097,14410925
2019-06-06,7.361913,7.419621,7.295960,7.345425,5.815257,10167123
2019-06-07,7.386645,7.535037,7.370157,7.460841,5.906631,20642228
2019-06-10,7.353669,7.403133,7.238252,7.394889,5.854417,22354134
2019-06-11,7.419621,7.460841,7.295960,7.452597,5.900105,27072462
2019-06-12,7.436109,7.551525,7.361913,7.386645,5.847891,21790211
2019-06-13,7.328937,7.411377,7.205276,7.295960,5.776097,30666581
2019-06-14,7.197032,7.221764,7.089860,7.188788,5.691251,25682728
2019-06-17,7.213520,7.279472,7.172300,7.188788,5.691251,15263543
2019-06-18,7.295960,7.427865,7.287716,7.394889,5.854417,16740734
2019-06-19,7.386645,7.584501,7.320692,7.535037,5.965370,22894890
2019-06-20,7.642209,7.741138,7.633965,7.683430,6.082851,17522998
2019-06-21,7.633965,7.765870,7.625721,7.724650,6.115484,21346981
2019-06-24,7.741138,7.856554,7.691674,7.765870,6.148118,18303200
2019-06-25,7.757626,7.782358,7.592745,7.625721,6.037166,29183688
