Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,3.460000,3.480000,3.300000,3.340000,3.064492,9577600
2019-04-02,3.350000,3.400000,3.330000,3.360000,3.082843,7634800
2019-04-03,3.360000,3.440000,3.330000,3.390000,3.110368,11327100
2019-04-04,3.330000,3.490000,3.300000,3.470000,3.183769,7516600
2019-04-05,3.480000,3.520000,3.430000,3.500000,3.211294,8467400
2019-04-08,3.550000,3.580000,3.510000,3.550000,3.257170,8197700
2019-04-09,3.580000,3.600000,3.540000,3.600000,3.303046,5578400
2019-04-10,3.570000,3.620000,3.520000,3.520000,3.229645,5860900
2019-04-11,3.450000,3.560000,3.440000,3.470000,3.183769,8581800
2019-04-12,3.500000,3.520000,3.450000,3.470000,3.183769,7942700
2019-04-15,3.430000,3.520000,3.410000,3.500000,3.211294,6557700
2019-04-16,3.410000,3.480000,3.400000,3.460000,3.174593,6727500
2019-04-17,3.460000,3.480000,3.330000,3.360000,3.082843,9075600
2019-04-18,3.340000,3.360000,3.210000,3.230000,2.963566,10114000
2019-04-22,3.230000,3.250000,3.150000,3.170000,2.908515,7077700
2019-04-23,3.100000,3.230000,3.100000,3.150000,2.890165,8666300
2019-04-24,3.180000,3.270000,3.150000,3.240000,2.972741,9889800
2019-04-25,3.250000,3.270000,3.150000,3.190000,2.926866,10377900
2019-04-26,3.210000,3.310000,3.210000,3.290000,3.018616,9620600
2019-04-29,3.250000,3.270000,3.190000,3.200000,2.936041,6923700
2019-04-30,3.210000,3.260000,3.180000,3.180000,2.917690,13023700
2019-05-01,3.180000,3.180000,3.040000,3.060000,2.807589,14005000
2019-05-02,3.070000,3.090000,3.000000,3.050000,2.798414,8567200
2019-05-03,3.080000,3.130000,3.050000,3.070000,2.816764,7501200
2019-05-06,3.050000,3.120000,3.040000,3.070000,2.816764,5157900
2019-05-07,3.060000,3.100000,3.020000,3.060000,2.807589,12778200
2019-05-08,3.160000,3.300000,3.060000,3.110000,2.853464,19770200
2019-05-09,3.100000,3.160000,3.080000,3.080000,2.825939,8040600
2019-05-10,3.090000,3.100000,3.040000,3.050000,2.798414,7184500
2019-05-13,3.090000,3.180000,3.060000,3.160000,2.899340,9243900
2019-05-14,3.140000,3.170000,3.070000,3.130000,2.871815,5034000
2019-05-15,3.130000,3.190000,3.130000,3.170000,2.908515,6244000
2019-05-16,3.150000,3.160000,3.090000,3.130000,2.871815,9387600
2019-05-17,3.100000,3.170000,3.060000,3.160000,2.899340,7101600
2019-05-20,3.140000,3.210000,3.120000,3.160000,2.899340,5056400
2019-05-21,3.150000,3.150000,3.100000,3.140000,2.880990,5593600
2019-05-22,3.140000,3.140000,3.090000,3.100000,2.844289,3590600
2019-05-23,3.130000,3.210000,3.120000,3.120000,2.862640,5587300
2019-05-24,3.130000,3.180000,3.110000,3.140000,2.880990,5101200
2019-05-28,3.130000,3.220000,3.110000,3.210000,2.945216,8252400
2019-05-29,3.230000,3.240000,3.170000,3.190000,2.926866,5860300
2019-05-30,3.140000,3.210000,3.100000,3.190000,2.926866,6314200
2019-05-31,3.220000,3.310000,3.220000,3.270000,3.000266,7416100
2019-06-03,3.330000,3.570000,3.320000,3.560000,3.266345,14118200
2019-06-04,3.490000,3.560000,3.480000,3.550000,3.257170,13892300
2019-06-05,3.590000,3.710000,3.480000,3.500000,3.211294,11818500
2019-06-06,3.510000,3.570000,3.480000,3.510000,3.220469,7304800
2019-06-07,3.550000,3.560000,3.460000,3.460000,3.174593,8904100
2019-06-10,3.410000,3.450000,3.360000,3.430000,3.147069,8779700
2019-06-11,3.430000,3.460000,3.380000,3.440000,3.156243,7305700
2019-06-12,3.480000,3.540000,3.460000,3.490000,3.202119,7494200
2019-06-13,3.490000,3.600000,3.480000,3.570000,3.275520,7518400
2019-06-14,3.610000,3.700000,3.490000,3.540000,3.247995,11956600
2019-06-17,3.520000,3.560000,3.410000,3.500000,3.211294,11891600
2019-06-18,3.570000,3.650000,3.510000,3.600000,3.303046,13412200
2019-06-19,3.560000,3.660000,3.520000,3.650000,3.348921,15064200
2019-06-20,3.790000,3.930000,3.760000,3.820000,3.504898,18831500
2019-06-21,3.800000,3.850000,3.690000,3.790000,3.477373,36959500
2019-06-24,3.860000,3.960000,3.830000,3.950000,3.624175,18282600
2019-06-25,3.980000,4.010000,3.810000,3.900000,3.578300,21779800
2019-06-26,3.800000,3.950000,3.770000,3.840000,3.523248,13521600
2019-06-27,3.800000,3.890000,3.750000,3.860000,3.541599,9749600
2019-06-28,3.860000,3.930000,3.820000,3.880000,3.559949,9107900
2019-07-01,3.740000,3.750000,3.640000,3.650000,3.348921,13129300
2019-07-02,3.720000,3.840000,3.700000,3.820000,3.504898,15131100
2019-07-03,3.860000,3.900000,3.800000,3.890000,3.569125,9191100
2019-07-05,3.740000,3.860000,3.710000,3.830000,3.514074,11157900
