Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,5.780000,5.800000,5.750000,5.770000,5.296477,18024900
2019-04-02,5.830000,5.850000,5.770000,5.810000,5.333194,16224300
2019-04-03,5.920000,5.960000,5.890000,5.900000,5.415808,21194900
2019-04-04,5.950000,5.960000,5.880000,5.900000,5.415808,17011000
2019-04-05,5.930000,5.940000,5.910000,5.920000,5.434167,9515600
2019-04-08,5.940000,5.960000,5.900000,5.960000,5.470884,10652700
2019-04-09,5.890000,5.920000,5.850000,5.860000,5.379091,14416600
2019-04-10,5.860000,5.890000,5.840000,5.850000,5.369912,13640900
2019-04-11,5.860000,5.900000,5.840000,5.870000,5.388271,12022900
2019-04-12,5.900000,5.960000,5.880000,5.940000,5.452527,16105100
2019-04-15,5.730000,5.730000,5.630000,5.640000,5.177145,39245500
2019-04-16,5.680000,5.720000,5.660000,5.680000,5.213863,21111600
2019-04-17,5.760000,5.870000,5.750000,5.820000,5.342374,26628100
2019-04-18,5.800000,5.840000,5.770000,5.810000,5.333194,13496600
2019-04-22,5.840000,5.840000,5.780000,5.810000,5.333194,11826100
2019-04-23,5.770000,5.810000,5.750000,5.800000,5.324015,15914700
2019-04-24,5.810000,5.840000,5.760000,5.790000,5.314836,23394900
2019-04-25,5.340000,5.350000,5.200000,5.300000,4.865048,72436300
2019-04-26,5.340000,5.450000,5.330000,5.360000,4.920124,27525200
2019-04-29,5.360000,5.370000,5.300000,5.320000,4.883407,24526200
2019-04-30,5.240000,5.330000,5.230000,5.280000,4.846690,29843800
2019-05-01,5.310000,5.340000,5.220000,5.220000,4.791613,24970500
2019-05-02,5.210000,5.220000,5.150000,5.190000,4.764075,29368500
2019-05-03,5.140000,5.210000,5.130000,5.180000,4.754896,28702900
2019-05-06,5.060000,5.160000,5.050000,5.140000,4.718179,28199200
2019-05-07,5.070000,5.100000,4.980000,5.040000,4.626385,39943400
2019-05-08,4.990000,5.040000,4.980000,4.980000,4.571310,22076200
2019-05-09,4.920000,4.970000,4.900000,4.950000,4.543771,29449800
2019-05-10,4.910000,4.960000,4.860000,4.930000,4.525412,22776500
