Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.000000,48.660000,47.900002,48.209999,42.059868,2290100
2019-04-02,48.310001,48.389999,47.740002,47.939999,41.824326,1284700
2019-04-03,48.200001,49.200001,47.959999,48.810001,42.583332,2864300
2019-04-04,48.939999,49.980000,48.730000,49.660000,43.324905,2302900
2019-04-05,49.860001,50.400002,49.790001,50.369999,43.944324,2286300
2019-04-08,50.160000,51.520000,50.160000,51.389999,44.834198,3892400
2019-04-09,51.150002,51.310001,50.770000,51.110001,44.589924,2063100
2019-04-10,51.060001,51.689999,50.919998,51.630001,45.043583,2421200
2019-04-11,51.740002,52.130001,51.459999,51.560001,44.982513,2633300
2019-04-12,51.820000,52.220001,50.910000,51.580002,44.999969,2476400
2019-04-15,51.740002,51.939999,51.090000,51.759998,45.157001,1785000
2019-04-16,52.099998,52.340000,51.689999,52.240002,45.575768,2080000
2019-04-17,52.400002,52.889999,52.290001,52.529999,45.828773,2403900
2019-04-18,52.560001,52.810001,52.169998,52.389999,45.706631,2172600
2019-04-22,52.330002,52.330002,50.880001,51.110001,44.589924,2252700
2019-04-23,51.070000,51.500000,50.820000,51.340000,44.790588,2917600
2019-04-24,51.299999,52.020000,51.000000,51.349998,44.799305,2204000
2019-04-25,51.230000,51.230000,50.619999,50.660000,44.197334,1573900
2019-04-26,50.910000,51.389999,50.680000,51.200001,44.668446,2313500
2019-04-29,51.279999,51.910000,51.250000,51.750000,45.148277,1294000
2019-04-30,51.700001,51.849998,50.740002,51.270000,44.729515,2598400
2019-05-01,51.230000,51.759998,51.080002,51.130001,44.607372,1299500
2019-05-02,51.009998,51.270000,49.930000,50.419998,43.987946,2330100
2019-05-03,50.470001,50.810001,48.919998,49.730000,43.385963,3983300
2019-05-06,49.040001,49.889999,48.700001,49.660000,43.324905,1612000
2019-05-07,49.279999,49.490002,48.119999,48.490002,42.304161,2944600
2019-05-08,48.369999,48.849998,48.060001,48.540001,42.347775,2461300
2019-05-09,48.290001,48.910000,48.009998,48.779999,42.557156,2322300
2019-05-10,48.520000,49.459999,48.090000,49.290001,43.002094,2255000
2019-05-13,48.580002,48.770000,47.040001,47.250000,41.222340,3266100
2019-05-14,47.349998,48.110001,47.209999,47.689999,41.606213,2009400
2019-05-15,47.459999,48.000000,47.060001,47.840000,41.737083,2031700
2019-05-16,48.200001,48.790001,47.869999,48.360001,42.190735,1448100
2019-05-17,47.930000,48.680000,47.700001,48.380001,42.208183,1414100
2019-05-20,48.250000,48.389999,47.930000,48.310001,42.147118,1202000
2019-05-21,48.439999,49.029999,48.349998,48.919998,42.679298,2572400
2019-05-22,48.700001,48.880001,48.250000,48.320000,42.155846,1850000
2019-05-23,47.810001,48.110001,47.389999,47.910000,41.798153,2353300
2019-05-24,47.990002,48.080002,47.450001,47.480000,41.423004,2193900
2019-05-28,47.709999,48.180000,47.540001,47.619999,41.545135,1721100
2019-05-29,47.310001,47.500000,46.430000,46.720001,40.759953,1983800
2019-05-30,46.990002,48.970001,46.990002,48.200001,42.051147,3816700
2019-05-31,47.939999,48.599998,47.720001,48.279999,42.120941,3012700
2019-06-03,48.099998,48.639999,47.910000,48.240002,42.086044,1872000
2019-06-04,48.660000,49.099998,48.430000,48.810001,42.583332,1654000
2019-06-05,49.150002,49.299999,48.110001,48.310001,42.147118,2146000
2019-06-06,48.549999,48.689999,48.180000,48.439999,42.260532,1507600
2019-06-07,48.480000,48.880001,48.209999,48.419998,42.400646,1496900
2019-06-10,48.480000,48.750000,47.770000,47.970001,42.006592,2448400
2019-06-11,48.070000,48.400002,47.799999,48.080002,42.102913,1863800
2019-06-12,48.209999,48.529999,48.090000,48.330002,42.321831,1115600
2019-06-13,48.330002,49.490002,48.090000,49.330002,43.197514,1768700
2019-06-14,49.369999,49.369999,48.650002,48.990002,42.899780,1302100
2019-06-17,49.070000,49.529999,48.279999,49.150002,43.039898,1647700
2019-06-18,49.389999,49.910000,49.060001,49.209999,43.092434,2369400
2019-06-19,49.459999,50.090000,48.919998,49.740002,43.556549,2640800
2019-06-20,50.200001,50.930000,49.910000,50.770000,44.458508,2561200
2019-06-21,50.840000,50.980000,50.160000,50.470001,44.195797,3652800
2019-06-24,50.360001,50.529999,49.490002,50.290001,44.038181,1506100
2019-06-25,50.150002,50.270000,49.259998,49.419998,43.276325,1595900
2019-06-26,49.490002,49.549999,48.580002,48.599998,42.558262,2038100
2019-06-27,48.570000,48.900002,48.290001,48.820000,42.750908,2252200
2019-06-28,48.810001,49.900002,48.730000,49.900002,43.696659,3531600
2019-07-01,50.320000,50.820000,49.950001,50.549999,44.265858,2989100
2019-07-02,50.610001,51.200001,50.369999,50.980000,44.642399,1885900
2019-07-03,51.130001,52.060001,51.029999,51.840000,45.395485,1750300
2019-07-05,51.540001,52.320000,51.490002,52.009998,45.544350,1408300
2019-07-08,51.799999,52.439999,51.750000,52.400002,45.885860,2390300
2019-07-09,52.110001,52.490002,51.990002,52.310001,45.807049,1630200
