Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,29.598000,29.660999,29.565001,29.660999,28.856140,700
2019-04-02,29.639999,29.780001,29.563000,29.780001,28.971914,700
2019-04-03,30.059999,30.070000,29.931000,29.978001,29.164541,2400
2019-04-04,29.809999,29.809999,29.240000,29.466000,28.666430,1100
2019-04-05,29.732000,29.732000,29.625000,29.625000,28.821115,300
2019-04-08,29.450001,29.575001,29.389999,29.575001,28.772476,9100
2019-04-09,29.440001,29.740000,29.440001,29.596001,28.792906,600
2019-04-10,29.660000,29.976999,29.660000,29.976999,29.163565,4200
2019-04-11,29.927000,29.969000,29.927000,29.969000,29.155785,1700
2019-04-12,30.040001,30.040001,29.910000,29.931999,29.119785,8600
2019-04-15,30.080000,30.080000,29.921000,30.063000,29.247231,3000
2019-04-16,30.129999,30.129999,29.662001,29.662001,28.857115,1700
2019-04-17,29.129999,29.180000,28.840000,28.987000,28.200430,3600
2019-04-18,28.520000,28.850000,28.520000,28.850000,28.067148,8400
2019-04-22,28.920000,29.202999,28.920000,29.202999,28.410568,2200
2019-04-23,29.290001,29.796000,29.290001,29.796000,28.987478,1100
2019-04-24,29.840000,30.000000,29.830000,29.886000,29.075035,2400
2019-04-25,29.879999,29.959000,29.631001,29.959000,29.146055,1000
2019-04-26,30.020000,30.334000,30.020000,30.334000,29.510878,500
2019-04-29,30.500000,30.520000,30.440001,30.520000,29.691832,1600
2019-04-30,30.400000,30.610001,30.400000,30.447001,29.620813,3600
2019-05-01,30.670000,30.670000,30.080000,30.080000,29.263771,210800
2019-05-02,30.059999,30.420000,29.879999,30.340000,29.516716,6800
2019-05-03,30.420000,30.813999,30.420000,30.813999,29.977854,5200
2019-05-06,30.600000,30.841999,30.590000,30.841999,30.005095,900
2019-05-07,30.226999,30.240000,30.226999,30.240000,29.419430,1200
2019-05-08,30.379999,30.430000,30.254999,30.254999,29.434021,1400
2019-05-09,29.910000,30.280001,29.549999,30.239000,29.418455,19900
2019-05-10,29.738001,30.118999,29.483000,30.118999,29.301712,1600
2019-05-13,29.540001,29.540001,28.969000,28.973000,28.186810,2200
2019-05-14,29.129999,29.684999,29.129999,29.608000,28.804579,6800
2019-05-15,29.860001,29.995001,29.860001,29.979000,29.165512,252900
2019-05-16,30.219999,30.657000,30.219999,30.444000,29.617895,3800
2019-05-17,30.209999,30.549999,30.115999,30.160999,29.342573,1300
2019-05-20,29.770000,29.855000,29.770000,29.855000,29.044874,300
2019-05-21,30.250000,30.250000,30.194000,30.194000,29.374678,4200
2019-05-22,30.323000,30.323000,30.316000,30.316000,29.493368,500
2019-05-23,29.639999,29.750000,29.459999,29.580999,28.778311,7200
2019-05-24,29.950001,29.950001,29.948999,29.948999,29.136324,300
2019-05-28,30.159000,30.174999,29.919001,29.919001,29.107140,3200
2019-05-29,29.299999,29.330999,29.299999,29.330999,28.535097,900
2019-05-30,29.733000,29.813000,29.730000,29.813000,29.004015,400
2019-05-31,29.780001,29.780001,29.607000,29.638000,28.833767,4700
2019-06-03,29.299999,29.400000,28.920000,28.920000,28.135248,49700
2019-06-04,29.250000,29.816999,29.250000,29.816999,29.007908,2900
2019-06-05,30.090000,30.407000,30.090000,30.407000,29.581898,32600
2019-06-06,30.420000,30.910000,30.420000,30.872999,30.035254,1100
2019-06-07,31.090000,31.389999,31.090000,31.329000,30.478878,2700
2019-06-10,31.629999,31.670000,31.452999,31.452999,30.599514,2300
