Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,8.860000,9.290000,8.840000,9.260000,9.260000,14762000
2019-04-02,9.220000,9.340000,9.030000,9.110000,9.110000,10521400
2019-04-03,9.200000,9.290000,8.930000,8.960000,8.960000,10610200
2019-04-04,9.000000,9.060000,8.740000,9.050000,9.050000,10009800
2019-04-05,9.080000,9.280000,9.020000,9.140000,9.140000,8817700
2019-04-08,9.180000,9.320000,9.010000,9.080000,9.080000,10165000
2019-04-09,9.000000,9.140000,8.880000,9.000000,9.000000,9777000
2019-04-10,9.110000,9.140000,8.850000,8.860000,8.860000,11049400
2019-04-11,8.820000,9.030000,8.650000,8.840000,8.840000,14679200
2019-04-12,9.000000,9.100000,8.790000,8.820000,8.820000,10018800
2019-04-15,8.800000,8.800000,8.550000,8.600000,8.600000,8557700
2019-04-16,8.690000,8.730000,8.420000,8.700000,8.700000,10695500
2019-04-17,8.760000,8.950000,8.650000,8.690000,8.690000,8628200
2019-04-18,8.780000,8.910000,8.700000,8.840000,8.840000,10008600
2019-04-22,9.010000,9.670000,8.970000,9.620000,9.620000,21662400
2019-04-23,9.590000,9.790000,9.530000,9.650000,9.650000,15530300
2019-04-24,9.620000,9.690000,9.170000,9.180000,9.180000,11338400
2019-04-25,9.200000,9.210000,8.920000,8.930000,8.930000,11385700
2019-04-26,8.850000,8.890000,8.580000,8.800000,8.800000,12168300
2019-04-29,8.830000,8.840000,8.650000,8.800000,8.800000,12567700
2019-04-30,8.800000,8.830000,7.810000,7.860000,7.860000,40351600
2019-05-01,7.860000,8.150000,7.590000,7.640000,7.640000,21390500
2019-05-02,7.490000,7.540000,7.200000,7.480000,7.480000,26014900
2019-05-03,7.600000,7.850000,7.420000,7.760000,7.760000,16355000
2019-05-06,7.560000,7.630000,7.440000,7.590000,7.590000,13729300
2019-05-07,7.470000,7.480000,7.250000,7.370000,7.370000,16042000
2019-05-08,7.360000,7.710000,7.330000,7.590000,7.590000,14733300
2019-05-09,7.500000,7.640000,7.320000,7.630000,7.630000,11905600
2019-05-10,7.580000,7.610000,7.280000,7.460000,7.460000,11095000
2019-05-13,7.330000,7.410000,6.930000,7.060000,7.060000,16754600
2019-05-14,7.180000,7.550000,7.160000,7.390000,7.390000,14007900
2019-05-15,7.270000,7.520000,7.230000,7.410000,7.410000,8521900
2019-05-16,7.480000,7.750000,7.480000,7.540000,7.540000,9503600
2019-05-17,7.440000,7.700000,7.410000,7.410000,7.410000,8260900
2019-05-20,7.390000,7.500000,7.300000,7.390000,7.390000,7233200
2019-05-21,7.430000,7.830000,7.430000,7.630000,7.630000,12255600
2019-05-22,7.550000,7.590000,7.240000,7.300000,7.300000,9593600
2019-05-23,7.070000,7.110000,6.570000,6.850000,6.850000,26190200
2019-05-24,6.980000,7.080000,6.680000,6.750000,6.750000,11667500
2019-05-28,6.800000,6.890000,6.650000,6.690000,6.690000,11454000
2019-05-29,6.560000,6.760000,6.400000,6.750000,6.750000,16346600
2019-05-30,6.730000,6.980000,6.560000,6.630000,6.630000,18012500
2019-05-31,6.430000,6.510000,6.130000,6.200000,6.200000,27773300
2019-06-03,6.260000,6.350000,6.140000,6.300000,6.300000,19063100
2019-06-04,6.370000,6.480000,6.230000,6.260000,6.260000,17960500
2019-06-05,6.250000,6.380000,5.870000,6.030000,6.030000,21875800
2019-06-06,6.030000,6.150000,5.900000,6.120000,6.120000,19655700
2019-06-07,6.110000,6.180000,5.900000,6.090000,6.090000,15158800
2019-06-10,6.150000,6.290000,5.940000,5.960000,5.960000,20131800
2019-06-11,6.100000,6.100000,5.880000,5.900000,5.900000,19017200
2019-06-12,5.830000,5.840000,5.470000,5.500000,5.500000,24978600
2019-06-13,5.630000,5.700000,5.450000,5.680000,5.680000,23638500
2019-06-14,5.560000,5.590000,5.280000,5.420000,5.420000,27634900
2019-06-17,5.400000,5.670000,5.320000,5.580000,5.580000,21425800
2019-06-18,5.610000,5.990000,5.610000,5.930000,5.930000,24710500
2019-06-19,5.910000,6.070000,5.760000,5.960000,5.960000,14631900
2019-06-20,6.250000,6.480000,6.190000,6.240000,6.240000,22100500
2019-06-21,6.320000,6.500000,6.140000,6.290000,6.290000,17785800
2019-06-24,6.280000,6.370000,6.140000,6.170000,6.170000,13807900
2019-06-25,6.130000,6.300000,6.020000,6.190000,6.190000,14711600
2019-06-26,6.310000,6.640000,6.270000,6.390000,6.390000,20290900
2019-06-27,6.310000,6.430000,6.230000,6.320000,6.320000,11917600
2019-06-28,6.320000,6.440000,6.270000,6.410000,6.410000,15577000
2019-07-01,6.600000,6.770000,6.440000,6.450000,6.450000,16084300
2019-07-02,6.400000,6.420000,6.080000,6.130000,6.130000,16172300
2019-07-03,6.140000,6.180000,6.010000,6.060000,6.060000,7437900
2019-07-05,6.030000,6.170000,5.990000,6.160000,6.160000,8562800
2019-07-08,6.160000,6.380000,6.080000,6.180000,6.180000,16009000
2019-07-09,6.150000,6.190000,6.040000,6.140000,6.140000,9946500
2019-07-10,6.280000,6.500000,6.250000,6.470000,6.470000,15223600
2019-07-11,6.480000,6.520000,6.230000,6.270000,6.270000,14372600
2019-07-12,6.270000,6.510000,6.260000,6.460000,6.460000,11952400
2019-07-15,6.520000,6.540000,6.290000,6.330000,6.330000,12073600
2019-07-16,6.370000,6.370000,5.990000,6.060000,6.060000,20718100
2019-07-17,6.070000,6.150000,5.800000,5.820000,5.820000,14993300
2019-07-18,5.800000,5.800000,5.570000,5.630000,5.630000,19202200
2019-07-19,5.650000,5.810000,5.630000,5.800000,5.800000,12845800
2019-07-22,5.840000,6.040000,5.750000,5.850000,5.850000,14740200
2019-07-23,5.850000,5.960000,5.800000,5.940000,5.940000,13983100
2019-07-24,5.930000,6.130000,5.920000,5.960000,5.960000,10545600
2019-07-25,6.050000,6.090000,5.610000,5.680000,5.680000,18345600
2019-07-26,5.700000,5.740000,5.530000,5.590000,5.590000,13024500
2019-07-29,5.540000,5.580000,5.280000,5.370000,5.370000,23337300
2019-07-30,5.300000,6.050000,5.260000,5.980000,5.980000,33206300
2019-07-31,5.960000,6.280000,5.940000,6.080000,6.080000,26687000
2019-08-01,5.990000,6.000000,5.510000,5.740000,5.740000,23085200
2019-08-02,5.750000,5.800000,5.160000,5.280000,5.280000,28754800
2019-08-05,5.130000,5.130000,4.790000,4.950000,4.950000,26873100
2019-08-06,5.090000,5.140000,4.640000,4.840000,4.840000,26261700
2019-08-07,4.670000,4.750000,4.450000,4.650000,4.650000,29911800
2019-08-08,4.690000,4.700000,4.330000,4.580000,4.580000,40430600
2019-08-09,4.620000,4.630000,4.300000,4.330000,4.330000,25003800
2019-08-12,4.300000,4.370000,4.120000,4.340000,4.340000,25994700
2019-08-13,4.290000,4.600000,4.270000,4.300000,4.300000,24699200
2019-08-14,4.130000,4.130000,3.890000,3.900000,3.900000,32289100
2019-08-15,3.900000,3.920000,3.760000,3.860000,3.860000,25204300
2019-08-16,3.900000,4.230000,3.760000,4.200000,4.200000,21668100
2019-08-19,4.330000,4.700000,4.330000,4.610000,4.610000,29052100
2019-08-20,4.580000,4.630000,4.320000,4.590000,4.590000,20561400
2019-08-21,4.670000,4.830000,4.530000,4.580000,4.580000,17022300
2019-08-22,4.670000,4.740000,4.510000,4.540000,4.540000,16596600
2019-08-23,4.420000,4.630000,4.240000,4.250000,4.250000,22348400
2019-08-26,4.320000,4.490000,4.220000,4.270000,4.270000,14814500
2019-08-27,4.300000,4.340000,4.110000,4.230000,4.230000,13485800
2019-08-28,4.300000,4.520000,4.210000,4.400000,4.400000,18253300
2019-08-29,4.470000,4.690000,4.460000,4.580000,4.580000,15215700
2019-08-30,4.610000,4.720000,4.380000,4.550000,4.550000,13729800
2019-09-03,4.420000,4.510000,4.220000,4.480000,4.480000,16967500
2019-09-04,4.610000,4.780000,4.550000,4.690000,4.690000,17027800
2019-09-05,4.790000,5.010000,4.780000,4.950000,4.950000,19483600
2019-09-06,4.860000,5.160000,4.740000,5.040000,5.040000,21077900
2019-09-09,5.170000,5.520000,5.040000,5.480000,5.480000,23801700
2019-09-10,5.480000,5.730000,5.450000,5.490000,5.490000,27827200
2019-09-11,5.560000,5.810000,5.430000,5.800000,5.800000,30574600
2019-09-12,5.570000,5.690000,5.380000,5.650000,5.650000,22963800
2019-09-13,5.670000,5.840000,5.540000,5.730000,5.730000,18588600
2019-09-16,6.240000,6.660000,6.070000,6.510000,6.510000,50577100
2019-09-17,6.410000,6.410000,5.890000,6.020000,6.020000,34279400
2019-09-18,5.880000,6.030000,5.790000,5.920000,5.920000,18605400
2019-09-19,6.040000,6.080000,5.810000,5.850000,5.850000,16472000
2019-09-20,5.850000,5.960000,5.760000,5.820000,5.820000,29775900
2019-09-23,5.750000,5.900000,5.660000,5.830000,5.830000,15760200
2019-09-24,5.760000,5.790000,5.360000,5.410000,5.410000,17634300
2019-09-25,5.130000,5.350000,5.090000,5.110000,5.110000,19902000
2019-09-26,5.080000,5.090000,4.680000,4.730000,4.730000,19865800
2019-09-27,4.630000,4.760000,4.510000,4.530000,4.530000,19304500
2019-09-30,4.510000,4.510000,4.360000,4.470000,4.470000,18212000
2019-10-01,4.480000,4.590000,4.160000,4.280000,4.280000,22097000
2019-10-02,4.260000,4.400000,4.120000,4.150000,4.150000,21399700
2019-10-03,4.130000,4.260000,3.980000,4.240000,4.240000,21746600
2019-10-04,4.250000,4.370000,4.110000,4.240000,4.240000,17444100
2019-10-07,4.270000,4.420000,4.150000,4.170000,4.170000,16505500
2019-10-08,4.050000,4.200000,4.020000,4.090000,4.090000,17530700
2019-10-09,4.170000,4.220000,4.030000,4.120000,4.120000,18066500
2019-10-10,4.170000,4.260000,4.130000,4.220000,4.220000,14020000
2019-10-11,4.300000,4.640000,4.300000,4.570000,4.570000,20096400
2019-10-14,4.450000,4.660000,4.320000,4.640000,4.640000,17928900
2019-10-15,4.600000,4.920000,4.550000,4.720000,4.720000,22800000
2019-10-16,4.700000,4.930000,4.600000,4.760000,4.760000,13082100
2019-10-17,4.780000,4.810000,4.610000,4.670000,4.670000,14943900
2019-10-18,4.700000,4.750000,4.500000,4.540000,4.540000,14412400
2019-10-21,4.480000,4.650000,4.470000,4.580000,4.580000,13578100
2019-10-22,4.630000,4.820000,4.450000,4.770000,4.770000,17330100
2019-10-23,4.740000,4.960000,4.560000,4.850000,4.850000,15612500
2019-10-24,4.900000,4.900000,4.560000,4.620000,4.620000,15970800
2019-10-25,4.630000,4.740000,4.550000,4.700000,4.700000,11062500
2019-10-28,4.820000,4.870000,4.640000,4.720000,4.720000,16117000
2019-10-29,4.720000,5.400000,4.510000,5.110000,5.110000,32319300
2019-10-30,5.170000,5.280000,4.810000,4.890000,4.890000,21267500
2019-10-31,4.850000,4.980000,4.650000,4.750000,4.750000,17259600
2019-11-01,4.820000,5.170000,4.730000,5.140000,5.140000,20740400
2019-11-04,5.300000,5.670000,5.280000,5.590000,5.590000,24903700
2019-11-05,5.640000,5.710000,5.510000,5.570000,5.570000,16070600
2019-11-06,5.500000,5.690000,5.310000,5.350000,5.350000,19775100
2019-11-07,5.470000,5.600000,5.370000,5.410000,5.410000,15046500
2019-11-08,5.320000,5.400000,5.230000,5.390000,5.390000,13777400
2019-11-11,5.250000,5.340000,5.130000,5.220000,5.220000,13809600
2019-11-12,5.220000,5.260000,4.920000,4.950000,4.950000,17712000
2019-11-13,4.870000,4.930000,4.700000,4.850000,4.850000,17401100
2019-11-14,4.810000,4.990000,4.690000,4.710000,4.710000,13025800
2019-11-15,4.740000,4.930000,4.720000,4.860000,4.860000,13322600
2019-11-18,4.800000,4.860000,4.720000,4.820000,4.820000,13344700
2019-11-19,4.750000,4.800000,4.590000,4.660000,4.660000,11592600
2019-11-20,4.600000,4.770000,4.430000,4.460000,4.460000,23425800
2019-11-21,4.500000,4.590000,4.170000,4.590000,4.590000,19832700
2019-11-22,4.600000,4.790000,4.590000,4.740000,4.740000,14011900
2019-11-25,4.680000,5.040000,4.640000,5.030000,5.030000,15075100
2019-11-26,5.050000,5.190000,4.810000,4.830000,4.830000,15144100
2019-11-27,4.860000,5.050000,4.800000,5.020000,5.020000,12393500
2019-11-29,4.910000,5.020000,4.890000,4.980000,4.980000,5999100
2019-12-02,5.010000,5.100000,4.850000,4.920000,4.920000,12049500
2019-12-03,4.800000,5.000000,4.770000,4.860000,4.860000,10442300
2019-12-04,4.980000,5.530000,4.960000,5.360000,5.360000,22488100
2019-12-05,5.560000,5.560000,5.280000,5.320000,5.320000,16483300
2019-12-06,5.340000,5.780000,5.320000,5.630000,5.630000,22744200
2019-12-09,5.600000,5.850000,5.570000,5.710000,5.710000,12709400
2019-12-10,5.720000,5.790000,5.570000,5.650000,5.650000,12495300
2019-12-11,5.680000,5.770000,5.560000,5.650000,5.650000,10466900
