Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,5.700000,5.840000,5.680000,5.790000,5.219859,38541000
2019-04-02,5.790000,5.890000,5.760000,5.870000,5.291982,32882500
2019-04-03,5.890000,5.960000,5.880000,5.920000,5.337059,29878800
2019-04-04,5.930000,5.980000,5.890000,5.960000,5.373120,25841800
2019-04-05,5.950000,5.990000,5.870000,5.940000,5.355089,29706100
2019-04-08,5.940000,6.000000,5.920000,5.980000,5.391150,25665300
2019-04-09,5.940000,6.000000,5.880000,5.970000,5.382135,23085700
2019-04-10,5.970000,6.010000,5.930000,5.990000,5.400166,25911500
2019-04-11,6.000000,6.060000,5.980000,6.050000,5.454257,22739000
2019-04-12,6.070000,6.130000,6.040000,6.100000,5.499334,19817800
2019-04-15,6.100000,6.100000,5.900000,5.990000,5.400166,26494200
2019-04-16,5.990000,6.010000,5.910000,5.960000,5.373120,21580300
2019-04-17,5.960000,6.020000,5.910000,6.010000,5.418196,19844200
2019-04-18,6.040000,6.070000,5.970000,6.040000,5.445242,27593200
2019-04-22,6.020000,6.140000,6.000000,6.120000,5.517365,26433000
2019-04-23,6.100000,6.170000,6.100000,6.150000,5.544410,32266700
2019-04-24,5.990000,6.130000,5.630000,5.710000,5.147737,82867500
2019-04-25,5.770000,5.810000,5.660000,5.730000,5.165768,37225900
2019-04-26,5.750000,5.900000,5.730000,5.780000,5.210845,36786000
2019-04-29,5.830000,5.910000,5.740000,5.870000,5.291982,33325000
2019-04-30,5.870000,5.920000,5.790000,5.810000,5.237890,34575400
2019-05-01,5.810000,5.910000,5.810000,5.880000,5.300996,28993700
2019-05-02,5.890000,5.900000,5.720000,5.770000,5.201830,37423800
2019-05-03,5.810000,5.900000,5.800000,5.880000,5.300996,26866800
2019-05-06,5.790000,5.860000,5.780000,5.840000,5.264935,23343100
2019-05-07,5.790000,5.810000,5.670000,5.720000,5.156752,34781100
2019-05-08,5.700000,5.780000,5.680000,5.740000,5.174783,24778200
2019-05-09,5.690000,5.740000,5.630000,5.710000,5.158522,23825200
2019-05-10,5.700000,5.770000,5.630000,5.740000,5.185624,20879800
2019-05-13,5.660000,5.690000,5.570000,5.570000,5.032043,25827500
2019-05-14,5.590000,5.750000,5.570000,5.630000,5.086247,29306000
2019-05-15,5.620000,5.660000,5.590000,5.610000,5.068180,23637600
2019-05-16,5.600000,5.710000,5.600000,5.650000,5.104317,17176000
2019-05-17,5.630000,5.710000,5.620000,5.660000,5.113351,20773800
2019-05-20,5.620000,5.670000,5.570000,5.580000,5.041078,20589200
2019-05-21,5.610000,5.690000,5.600000,5.640000,5.095283,16498100
2019-05-22,5.620000,5.650000,5.560000,5.560000,5.023009,17250200
2019-05-23,5.530000,5.550000,5.330000,5.390000,4.869427,35182200
2019-05-24,5.460000,5.520000,5.380000,5.410000,4.887496,23959000
2019-05-28,5.410000,5.460000,5.330000,5.350000,4.833291,40480600
2019-05-29,5.330000,5.380000,5.280000,5.340000,4.824256,28293300
2019-05-30,5.350000,5.440000,5.350000,5.370000,4.851359,23934300
2019-05-31,5.330000,5.330000,5.240000,5.310000,4.797153,29981400
2019-06-03,5.310000,5.330000,5.230000,5.270000,4.761016,22520500
2019-06-04,5.310000,5.400000,5.310000,5.390000,4.869427,27625500
2019-06-05,5.440000,5.440000,5.270000,5.270000,4.761016,24384000
2019-06-06,5.290000,5.330000,5.250000,5.310000,4.797153,21292300
2019-06-07,5.330000,5.370000,5.280000,5.310000,4.797153,20300400
2019-06-10,5.380000,5.490000,5.360000,5.430000,4.905564,32957000
2019-06-11,5.470000,5.540000,5.440000,5.490000,4.959769,25977500
2019-06-12,5.490000,5.530000,5.470000,5.500000,4.968803,15490000
2019-06-13,5.530000,5.610000,5.490000,5.580000,5.041078,21745800
2019-06-14,5.570000,5.600000,5.530000,5.560000,5.023009,18196600
2019-06-17,5.550000,5.720000,5.520000,5.630000,5.086247,27249600
2019-06-18,5.690000,5.780000,5.670000,5.700000,5.149487,25905300
2019-06-19,5.720000,5.750000,5.610000,5.680000,5.131420,19499800
