Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,56.669998,57.410000,56.669998,57.200001,54.911091,220500
2019-04-02,57.230000,57.439999,57.000000,57.419998,55.122276,200000
2019-04-03,57.860001,58.119999,57.680000,57.910000,55.592682,146900
2019-04-04,58.040001,58.040001,56.689999,57.250000,54.959087,210000
2019-04-05,57.509998,57.869999,57.419998,57.700001,55.391090,106500
2019-04-08,57.520000,57.860001,57.110001,57.860001,55.544682,72500
2019-04-09,57.730000,57.849998,57.450001,57.619999,55.314285,84300
2019-04-10,57.700001,58.189999,57.700001,58.150002,55.823078,84100
2019-04-11,58.250000,58.369999,57.980000,58.340000,56.005470,133400
2019-04-12,58.619999,58.700001,58.369999,58.610001,56.264675,99200
2019-04-15,58.639999,58.779999,58.369999,58.689999,56.341465,147400
2019-04-16,58.950001,59.049999,58.380001,58.619999,56.274273,134200
2019-04-17,58.799999,58.799999,57.599998,57.730000,55.419880,120700
2019-04-18,57.730000,57.810001,57.040001,57.750000,55.439079,116800
2019-04-22,57.660000,58.130001,57.580002,58.130001,55.803883,136800
2019-04-23,58.349998,58.919998,58.270000,58.900002,56.543068,98700
2019-04-24,59.000000,59.240002,58.900002,58.950001,56.591068,91700
2019-04-25,59.009998,59.009998,58.110001,58.639999,56.293476,188800
2019-04-26,58.680000,59.110001,58.369999,59.099998,56.735065,73700
2019-04-29,59.119999,59.480000,58.930000,58.959999,56.600658,62300
2019-04-30,58.959999,59.160000,58.500000,59.099998,56.735065,87300
2019-05-01,59.200001,59.490002,58.480000,58.490002,56.149479,546000
2019-05-02,58.220001,58.810001,57.930000,58.570000,56.226269,234700
2019-05-03,58.669998,59.080002,58.509998,59.000000,56.639053,179800
2019-05-06,57.849998,59.250000,57.529999,59.209999,56.840656,97400
2019-05-07,58.689999,58.779999,57.340000,57.840000,55.525486,102600
2019-05-08,57.770000,58.259998,57.500000,58.009998,55.688683,115800
2019-05-09,57.450001,58.049999,56.810001,57.959999,55.640678,157000
2019-05-10,57.560001,57.980000,56.599998,57.810001,55.496685,96900
2019-05-13,56.459999,56.610001,55.430000,55.590000,53.365513,234800
2019-05-14,55.889999,56.860001,55.840000,56.570000,54.306301,117000
2019-05-15,56.189999,57.220001,56.040001,57.099998,54.815098,173100
2019-05-16,57.330002,58.220001,57.270000,57.910000,55.592682,186900
2019-05-17,57.500000,58.090000,57.250000,57.349998,55.055096,59800
2019-05-20,56.860001,57.169998,56.419998,56.810001,54.536709,76000
2019-05-21,57.180000,57.700001,57.180000,57.560001,55.256691,60800
2019-05-22,57.299999,57.799999,57.299999,57.480000,55.179886,33400
2019-05-23,56.810001,56.810001,55.889999,56.230000,53.979908,117700
2019-05-24,56.480000,56.849998,56.320000,56.580002,54.315918,65600
2019-05-28,56.799999,57.360001,56.380001,56.490002,54.229511,84500
2019-05-29,56.070000,56.169998,55.480000,55.759998,53.528709,116600
2019-05-30,55.860001,56.340000,55.849998,56.240002,53.989510,77500
2019-05-31,55.439999,56.020000,55.250000,55.750000,53.519119,206500
2019-06-03,55.650002,55.830002,54.279999,54.599998,52.415127,1049900
2019-06-04,55.189999,56.369999,55.110001,56.330002,54.075905,453500
2019-06-05,56.779999,57.209999,56.369999,57.209999,54.920692,80000
2019-06-06,57.330002,57.619999,56.919998,57.490002,55.189491,109800
2019-06-07,57.849998,58.389999,57.820000,58.270000,55.938271,133500
2019-06-10,58.779999,59.500000,58.779999,58.860001,56.504669,877400
2019-06-11,59.320000,59.340000,58.009998,58.340000,56.005470,172900
2019-06-12,58.299999,58.639999,58.090000,58.599998,56.255074,127200
2019-06-13,58.880001,58.950001,58.570000,58.910000,56.552658,94800
2019-06-14,58.889999,58.889999,58.330002,58.610001,56.264675,103100
2019-06-17,58.750000,59.119999,58.669998,58.680000,56.331860,133900
2019-06-18,59.130001,59.730000,59.130001,59.400002,57.023060,111800
2019-06-19,59.500000,59.799999,59.080002,59.750000,57.359043,112000
2019-06-20,60.349998,60.709999,59.709999,60.150002,57.743046,90400
2019-06-21,60.099998,60.099998,59.430000,59.490002,57.109459,113300
2019-06-24,59.410000,59.439999,58.619999,58.900002,56.555420,78800
2019-06-25,58.570000,58.889999,58.259998,58.279999,55.960102,98600
2019-06-26,58.540001,58.540001,57.610001,57.639999,55.345577,190500
2019-06-27,57.720001,58.320000,57.720001,58.270000,55.950497,103200
2019-06-28,58.279999,58.869999,58.279999,58.820000,56.478603,45600
2019-07-01,59.419998,59.480000,58.689999,58.980000,56.632236,334900
2019-07-02,59.000000,59.470001,59.000000,59.349998,56.987514,142700
2019-07-03,59.450001,60.090000,59.450001,60.080002,57.688457,80500
2019-07-05,59.770000,60.130001,59.439999,60.090000,57.698055,408000
2019-07-08,59.919998,60.009998,59.689999,59.860001,57.477211,53800
2019-07-09,59.779999,59.849998,59.540001,59.820000,57.438797,62900
2019-07-10,60.130001,60.310001,59.840000,59.959999,57.573227,55100
2019-07-11,60.150002,60.150002,59.540001,59.869999,57.486816,89100
2019-07-12,59.910000,60.220001,59.770000,60.090000,57.698055,62700
2019-07-15,60.330002,60.330002,59.779999,59.840000,57.458000,50800
2019-07-16,59.840000,59.860001,59.599998,59.650002,57.275570,81500
2019-07-17,59.669998,59.799999,59.540001,59.549999,57.179554,123500
2019-07-18,59.590000,59.840000,59.369999,59.770000,57.390793,57600
2019-07-19,59.910000,59.950001,59.209999,59.240002,56.881889,48200
2019-07-22,59.560001,59.560001,59.209999,59.209999,56.853081,78200
2019-07-23,59.459999,59.599998,59.099998,59.599998,57.227562,52600
2019-07-24,59.520000,60.160000,59.520000,60.130001,57.736465,98200
2019-07-25,60.130001,60.130001,59.689999,59.700001,57.323582,104900
2019-07-26,60.070000,60.279999,59.849998,60.279999,57.880493,114300
2019-07-29,60.259998,60.330002,59.759998,59.889999,57.506020,43900
2019-07-30,59.799999,59.930000,59.650002,59.880001,57.496422,43700
2019-07-31,59.889999,60.139999,59.080002,59.320000,56.958710,70800
2019-08-01,59.520000,59.810001,58.680000,58.840000,56.497803,146300
2019-08-02,58.810001,58.810001,58.009998,58.330002,56.008118,78400
2019-08-05,57.509998,57.669998,56.189999,56.759998,54.500607,122700
2019-08-06,57.150002,57.680000,56.930000,57.669998,55.374378,234800
2019-08-07,57.169998,58.150002,56.900002,57.980000,55.672043,61100
2019-08-08,58.259998,59.169998,58.110001,59.169998,56.814682,133700
2019-08-09,58.950001,59.040001,58.450001,58.669998,56.334576,41800
2019-08-12,58.299999,58.299999,57.650002,57.779999,55.480007,70600
2019-08-13,57.549999,58.689999,57.549999,58.340000,56.017712,80800
2019-08-14,57.630001,57.630001,56.970001,57.080002,54.807877,60500
2019-08-15,57.160000,57.349998,56.880001,57.200001,54.923092,54200
2019-08-16,57.549999,58.299999,57.549999,58.259998,55.940903,44600
