Asset,Average Daily Return,Volatility
CSCO,0.00018602972193650517,0.017702789824065458
NU,0.0009620195557684541,0.043586449913480096
KOMP,0.0005102557076387111,0.017955352994458922
GRAB,-0.0005701663678319857,0.04377368862963311
SPYG,0.0006794415331541845,0.014816897045876652
XMMO,0.0007041289380349006,0.015666711566653328
T,0.00019237269327071368,0.01655204598466158
BAC,0.0005557259760716555,0.0223928841897293
EEM,0.00014435054321258276,0.013979936648330608
RIG,0.0013504144937438619,0.05760835052702117
AIRR,0.0009594963363869826,0.018539260112946678
LYFT,-2.2686970614139042e-05,0.04552729982167707
GDX,0.0007032525218974064,0.024877024603484302
WBD,-0.0004082344325520042,0.0327420788462165
PARA,-0.0003458593831812507,0.03614626510898394
BP,0.0003932790037736129,0.0236515690418202
THD,-0.00010999602313457653,0.014857123802261842
MPW,-0.0005077380106057785,0.029089120458647078
NOW,0.0012726681736056889,0.02661516658754584
BTG,0.0006059100394980904,0.029713908322790854
ITUB,0.00043868975735126,0.026211996632508675
GOAU,0.0006235024355422246,0.023585942814621046
PRN,0.0007966316390081951,0.016503341903527737
QMOM,0.0007489447509895705,0.01919839680504658
VALE,0.0005824851397853922,0.027176720858122255
MGK,0.000804858959955184,0.015946661076212877
TSM,0.0013394813180512876,0.022874091882285043
CHWY,0.0002660166840872713,0.040954661381730706
ROBT,0.0003965792645018154,0.016854976439530857
SNAP,0.0011983973569582318,0.048847482552432916
QQQ,0.0008536247905543128,0.015941369326492455
RIOT,0.0034204491693153043,0.07311781049034395
AMZN,0.0008084015327477687,0.022073658035365682
INTC,0.00014571779451692175,0.024860753475064747
ABEV,-4.980327066639488e-06,0.02457229067307446
XPEV,0.00034068485140865555,0.0577582799911821
XLF,0.0005800868410804946,0.016579299850602882
SH,-0.0005031069755928406,0.013336976718676907
OXY,0.000949265907053434,0.03977079324327286
PBR,0.0012959866652002992,0.03332386528357077
MSFT,0.0012315088222256516,0.019099219774861564
UBER,0.0011840961856558884,0.03472887217761585
CCL,0.00012664142116105125,0.04596164453981299
DKNG,0.0022694257604112976,0.04317680584797991
AMD,0.002025424045048345,0.03314008829078213
RTX,0.0004671166961662205,0.02075344989413452
NVDA,0.0028788576198911318,0.03256596849597676
GLD,0.0004971767539870845,0.009433814702579611
HPE,0.0005025535125697636,0.02320879472988178
XOM,0.0007473635443314584,0.021577654271376347
CMCSA,0.00026350857654281346,0.01753728561805988
SWAV,0.002500239797596877,0.03736794103174452
SIRI,-1.1622777116027897e-05,0.02530490048419496
IWM,0.0004165173570230809,0.016883376916697643
NEM,0.0004683003932637876,0.022040233581096903
SOFI,0.0006127061036447339,0.050958053404441934
PANW,0.0013072998436029475,0.02623073500931477
DELL,0.0015449170035698883,0.026270816560894302
GE,0.0012370155027690683,0.025325671242470593
NIO,0.001337429580608188,0.05540153967849984
IBN,0.000907545545954084,0.022389721220916464
IAU,0.0005029349492154578,0.009408984407649942
SPX,0.0005622426597050766,0.01336498642371907
TUR,0.0007538602401982789,0.023360334656491625
TSLA,0.0025291927053217077,0.04069071136073783
CLSK,0.0024907251650461495,0.08339778302966144
RIVN,-0.002736542576269219,0.05290003892657074
SPY,0.0006226354950091879,0.013159726003921653
PTF,0.000977410079333983,0.022213887280588634
GOOGL,0.0015932787779620588,0.01717450814545902
ANET,0.001413755776296057,0.027105187396836827
META,0.0012983771865533367,0.027902617603708928
AAL,6.248956723734545e-05,0.03870166435685064
NYCB,-0.0002832416681243409,0.03155279097702378
LCID,0.00015725134731810694,0.05822108449432062
CRWD,0.0019562280840817676,0.03700501061341037
ERIC,-0.00020572650694644176,0.019214028350644875
PLUG,0.0017670096538483183,0.055716066799450785
GOOG,0.0009533179137085027,0.020128535266268916
GDX (1),0.0007032526362335874,0.0248770262497503
PFE,-3.5443524165186725e-05,0.01689425188396559
SWN,0.0011625885289900883,0.03992193358633523
VZ,2.1594338325161886e-05,0.013021535506847199
DNA,-0.0014150880769265826,0.05675565561079661
LW,0.00038225310915921746,0.02310374530107196
AG,0.0009458407168303516,0.039343895918552425
QLD,0.0015653964584920953,0.03197239626868273
MARA,0.005310364964403681,0.08869456995350412
HBAN,0.0005474937054693575,0.02562482451572854
KGC,0.0010538742977546085,0.030723053353355557
PLTR,0.002060165726009856,0.04662051316978052
AAPL,0.0012332925195904696,0.019979176300186908
KEY,0.0006029442793593834,0.030643998486908134
DIDIY,-0.00016761380266446148,0.059328319301357124
NOK,5.6189965747771447e-05,0.027733454641699736
SPMO,0.0007138215408900687,0.013926017031564462
MU,0.001272672175120967,0.028554273424908985
ASML,0.001661931725841288,0.025613181496999947
CRM,0.0007873146260774292,0.02415371051403475
BCS,0.000632623085225185,0.026638764331066156
